Name,Image,Buy,Category,Source,Filename,Unique Entry ID
brick bridge,,198000,Bridge,Resident Services Upgrade,BridgeBricks,Rvkrg9tcubTMakcBS
iron bridge,,228000,Bridge,Resident Services Upgrade,BridgeIron,RmQ6iiKkFf3Sy4iSQ
log bridge,,98000,Bridge,Resident Services Upgrade,BridgeLog,Px55sTfjKSbbMtjAK
red zen bridge,,228000,Bridge,Resident Services Upgrade,BridgeRed,jTziEHXkeYaugKDQQ
stone bridge,,168000,Bridge,Resident Services Upgrade,BridgeStone,JmrwC2tRRCCgbZnrp
suspension bridge,,129800,Bridge,Resident Services Upgrade,BridgeSuspension,q52JebMTHDqHJKBba
wooden bridge,,168000,Bridge,Resident Services Upgrade,BridgeWood,7oZ7FMrJEpBLZzsmw
zen bridge,,228000,Bridge,Resident Services Upgrade,BridgeJapanese,TbKbHzJM8j8ezmAEF
large mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostLarge,9mei7SoYtX9WhJqBx
black large mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostLargeBlack,MfwnWmtJuJDAvc2Lz
blue large mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostLargeBlue,PXyHoT3WdZxgZNngW
green large mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostLargeGreen,MkQ6G3TQ7YqhQToAi
pink large mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostLargePink,442cvvb6XZ2ykmMy9
red large mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostLargeRed,dd7zAjPBuZzeepDg4
white large mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostLargeWhite,uEXJbNeCvpXGjCokH
yellow large mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostLargeYellow,Ed6P9B4Y7y6TA99YS
rustic mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostSimple,vhd8waS64LR47ty8Q
square mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostSquare,BKJKu7xjhMajA2aFy
black square mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostSquareBlack,EePwSJwYCpQZacFqi
blue square mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostSquareBlue,cP7bYmszxmrmW2ygL
green square mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostSquareGreen,xuTEi6Do6tN46d3q5
pink square mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostSquarePink,wM9frkMp4Bw3j8siW
red square mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostSquareRed,hnC7jsEoSKbk5RsEy
white square mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostSquareWhite,62DZnrMMYjrk5jbS5
yellow square mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostSquareYellow,Me97eMZ28yf3j8S8v
ordinary mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostStandard,WiXx9pYfimxQTSAuF
black ordinary mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostStandardBlack,mrnKiTGF6ra4B8X2T
blue ordinary mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostStandardBlue,RzqDEHhw3HSGjpavY
green ordinary mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostStandardGreen,ujFMEsLrnERfkwfP9
pink ordinary mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostStandardPink,TimXNFMGAu2gEdSHg
red ordinary mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostStandardRed,TBRuBdRZM6YmQPNHp
white ordinary mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostStandardWhite,QYJ4Xh4GSSi4iYzMb
yellow ordinary mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostStandardYellow,egLw54yP3orauEyFd
wooden mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostWood,iqx2M7qtMQjSr73dq
blue wooden mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostWoodBlue,hc333N34upcNjSabw
chic wooden mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostWoodDark,f2YBipw25G8BAxwSt
green wooden mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostWoodGreen,6bxdrutijtpzKv39F
pink wooden mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostWoodPink,rFbXYtTBoJmXaHs8o
red wooden mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostWoodRed,wuakRPNugQ72t832X
white wooden mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostWoodWhite,hs8QMbn7caa6z85ha
yellow wooden mailbox,,5000,Mailbox,3rd House Upgrade (Left Room),FtrPostWoodYellow,ZDcPaCBz24tNYiGe4
white fancy door,,5000,Door,4th House Upgrade (Right Room),HouseDoorCarvingAR,r6k9ATzzAKaWMNJnQ
black fancy door,,5000,Door,4th House Upgrade (Right Room),HouseDoorCarvingBR,3ZahH8gvtHGdkEM68
