name,variation,buy_price,sell_price,source,style,filename
acid-washed jeans,Blue,1320,330,Able Sisters,Simple,BottomsTexPantsNormalChemical0
acid-washed jeans,Black,1320,330,Able Sisters,Simple,BottomsTexPantsNormalChemical1
animal-stripes skirt,Tiger,1100,275,Able Sisters,Cool,BottomsTexSkirtBoxStripe0
animal-stripes skirt,Zebra,1100,275,Able Sisters,Cool,BottomsTexSkirtBoxStripe1
apron skirt,Purple,700,175,Able Sisters,Simple,BottomsTexSkirtBoxApron0
apron skirt,Blue,700,175,Able Sisters,Simple,BottomsTexSkirtBoxApron1
apron skirt,Beige,700,175,Able Sisters,Simple,BottomsTexSkirtBoxApron2
athletic pants,Red,880,220,Able Sisters,Active,BottomsTexPantsNormalJersey0
athletic pants,Green,880,220,Able Sisters,Active,BottomsTexPantsNormalJersey1
athletic pants,Black,880,220,Able Sisters,Active,BottomsTexPantsNormalJersey2
athletic pants,Blue,880,220,Able Sisters,Active,BottomsTexPantsNormalJersey3
athletic pants,Berry red,880,220,Able Sisters,Active,BottomsTexPantsNormalJersey4
athletic pants,Navy blue,880,220,Able Sisters,Active,BottomsTexPantsNormalJersey5
athletic shorts,Red,560,140,Able Sisters,Active,BottomsTexPantsHalfJersey0
athletic shorts,Green,560,140,Able Sisters,Active,BottomsTexPantsHalfJersey1
athletic shorts,Black,560,140,Able Sisters,Active,BottomsTexPantsHalfJersey2
athletic shorts,Blue,560,140,Able Sisters,Active,BottomsTexPantsHalfJersey3
athletic shorts,Berry red,560,140,Able Sisters,Active,BottomsTexPantsHalfJersey4
athletic shorts,Navy blue,560,140,Able Sisters,Active,BottomsTexPantsHalfJersey5
basketball shorts,Purple,980,245,Able Sisters,Active,BottomsTexPantsHalfBasketball0
basketball shorts,Red,980,245,Able Sisters,Active,BottomsTexPantsHalfBasketball1
basketball shorts,Green,980,245,Able Sisters,Active,BottomsTexPantsHalfBasketball2
basketball shorts,Orange,980,245,Able Sisters,Active,BottomsTexPantsHalfBasketball3
basketball shorts,Blue,980,245,Able Sisters,Active,BottomsTexPantsHalfBasketball4
basketball shorts,Yellow,980,245,Able Sisters,Active,BottomsTexPantsHalfBasketball5
basketball shorts,Light blue,980,245,Able Sisters,Active,BottomsTexPantsHalfBasketball6
basketball shorts,Black,980,245,Able Sisters,Active,BottomsTexPantsHalfBasketball7
bell-bottoms,Orange,1320,330,Able Sisters,Gorgeous,BottomsTexPantsWideBellbottoms0
bell-bottoms,Brown,1320,330,Able Sisters,Gorgeous,BottomsTexPantsWideBellbottoms1
bell-bottoms,Beige,1320,330,Able Sisters,Gorgeous,BottomsTexPantsWideBellbottoms2
bell-bottoms,Green,1320,330,Able Sisters,Gorgeous,BottomsTexPantsWideBellbottoms3
bell-bottoms,Blue,1320,330,Able Sisters,Gorgeous,BottomsTexPantsWideBellbottoms4
belted wraparound skirt,Yellow,1040,260,Able Sisters,Simple,BottomsTexSkirtLongWrap0
belted wraparound skirt,Red,1040,260,Able Sisters,Simple,BottomsTexSkirtLongWrap1
belted wraparound skirt,Green,1040,260,Able Sisters,Simple,BottomsTexSkirtLongWrap2
belted wraparound skirt,Blue,1040,260,Able Sisters,Simple,BottomsTexSkirtLongWrap3
boa shorts,Purple,1200,300,Able Sisters,Active,BottomsTexPantsHalfBoa0
boa shorts,Avocado,1200,300,Able Sisters,Active,BottomsTexPantsHalfBoa1
boa shorts,Beige,1200,300,Able Sisters,Active,BottomsTexPantsHalfBoa2
boa shorts,Blue,1200,300,Able Sisters,Active,BottomsTexPantsHalfBoa3
boa shorts,Red,1200,300,Able Sisters,Active,BottomsTexPantsHalfBoa4
boa shorts,Orange,1200,300,Able Sisters,Active,BottomsTexPantsHalfBoa5
boa shorts,Peacock blue,1200,300,Able Sisters,Active,BottomsTexPantsHalfBoa6
boa shorts,Black,1200,300,Able Sisters,Active,BottomsTexPantsHalfBoa7
boa skirt,Green,1300,325,Able Sisters,Active,BottomsTexSkirtBoxBoa0
boa skirt,Blue,1300,325,Able Sisters,Active,BottomsTexSkirtBoxBoa1
boa skirt,Purple,1300,325,Able Sisters,Active,BottomsTexSkirtBoxBoa2
boa skirt,Red,1300,325,Able Sisters,Active,BottomsTexSkirtBoxBoa3
boa skirt,Yellow,1300,325,Able Sisters,Active,BottomsTexSkirtBoxBoa4
boa skirt,Light blue,1300,325,Able Sisters,Active,BottomsTexSkirtBoxBoa5
boa skirt,Beige,1300,325,Able Sisters,Active,BottomsTexSkirtBoxBoa6
boa skirt,Brown,1300,325,Able Sisters,Active,BottomsTexSkirtBoxBoa7
bomber-style skirt,Avocado,1320,330,Able Sisters,Cool,BottomsTexSkirtLongMaone0
bomber-style skirt,Black,1320,330,Able Sisters,Cool,BottomsTexSkirtLongMaone1
bomber-style skirt,Blue,1320,330,Able Sisters,Cool,BottomsTexSkirtLongMaone2
bomber-style skirt,Brown,1320,330,Able Sisters,Cool,BottomsTexSkirtLongMaone3
botanical shorts,Black,700,175,Able Sisters,Cool,BottomsTexPantsHalfBotanical0
botanical shorts,White,700,175,Able Sisters,Cool,BottomsTexPantsHalfBotanical1
box-pleated skirt,Light blue,1320,330,Able Sisters,Simple,BottomsTexSkirtBoxBoxpleats0
box-pleated skirt,Beige,1320,330,Able Sisters,Simple,BottomsTexSkirtBoxBoxpleats1
box-pleated skirt,Red,1320,330,Able Sisters,Simple,BottomsTexSkirtBoxBoxpleats2
box-pleated skirt,Green,1320,330,Able Sisters,Simple,BottomsTexSkirtBoxBoxpleats3
buttoned lace skirt,Yellow,1200,300,Able Sisters,Simple,BottomsTexSkirtLongLace0
buttoned lace skirt,White,1200,300,Able Sisters,Simple,BottomsTexSkirtLongLace1
buttoned lace skirt,Pink,1200,300,Able Sisters,Simple,BottomsTexSkirtLongLace2
buttoned lace skirt,Green,1200,300,Able Sisters,Simple,BottomsTexSkirtLongLace3
buttoned lace skirt,Purple,1200,300,Able Sisters,Simple,BottomsTexSkirtLongLace4
buttoned wraparound skirt,Gray,1820,455,Able Sisters,Elegant,BottomsTexSkirtLongWrapbicolor0
buttoned wraparound skirt,Blue,1820,455,Able Sisters,Elegant,BottomsTexSkirtLongWrapbicolor1
buttoned wraparound skirt,Orange,1820,455,Able Sisters,Elegant,BottomsTexSkirtLongWrapbicolor2
buttoned wraparound skirt,Pink,1820,455,Able Sisters,Elegant,BottomsTexSkirtLongWrapbicolor3
buttoned wraparound skirt,Green,1820,455,Able Sisters,Elegant,BottomsTexSkirtLongWrapbicolor4
buttoned wraparound skirt,Purple,1820,455,Able Sisters,Elegant,BottomsTexSkirtLongWrapbicolor5
camo pants,Brown,1300,325,Able Sisters,Cool,BottomsTexPantsNormalCamouflage0
camo pants,Avocado,1300,325,Able Sisters,Cool,BottomsTexPantsNormalCamouflage1
camo pants,Pink,1300,325,Able Sisters,Cool,BottomsTexPantsNormalCamouflage2
camo pants,Blue,1300,325,Able Sisters,Cool,BottomsTexPantsNormalCamouflage3
camo pants,Gray,1300,325,Able Sisters,Cool,BottomsTexPantsNormalCamouflage4
camo pants,Purple,1300,325,Able Sisters,Cool,BottomsTexPantsNormalCamouflage5
camo pants,Red,1300,325,Able Sisters,Cool,BottomsTexPantsNormalCamouflage6
camo skirt,Brown,1300,325,Able Sisters,Cool,BottomsTexSkirtBoxCamo0
camo skirt,Avocado,1300,325,Able Sisters,Cool,BottomsTexSkirtBoxCamo1
camo skirt,Pink,1300,325,Able Sisters,Cool,BottomsTexSkirtBoxCamo2
camo skirt,Blue,1300,325,Able Sisters,Cool,BottomsTexSkirtBoxCamo3
camo skirt,Gray,1300,325,Able Sisters,Cool,BottomsTexSkirtBoxCamo4
camo skirt,Purple,1300,325,Able Sisters,Cool,BottomsTexSkirtBoxCamo5
camo skirt,Red,1300,325,Able Sisters,Cool,BottomsTexSkirtBoxCamo6
career skirt,Gray,1560,390,Able Sisters,Simple,BottomsTexSkirtBoxCareer0
career skirt,Beige,1560,390,Able Sisters,Simple,BottomsTexSkirtBoxCareer1
career skirt,Peach,1560,390,Able Sisters,Simple,BottomsTexSkirtBoxCareer2
career skirt,Light blue,1560,390,Able Sisters,Simple,BottomsTexSkirtBoxCareer3
career skirt,Pink,1560,390,Able Sisters,Simple,BottomsTexSkirtBoxCareer4
career skirt,Green,1560,390,Able Sisters,Simple,BottomsTexSkirtBoxCareer5
career skirt,Blue,1560,390,Able Sisters,Simple,BottomsTexSkirtBoxCareer6
career skirt,Red,1560,390,Able Sisters,Simple,BottomsTexSkirtBoxCareer7
cargo pants,Avocado,770,192,Able Sisters,Simple,BottomsTexPantsWideCargo0
cargo pants,Beige,770,192,Able Sisters,Simple,BottomsTexPantsWideCargo1
cargo pants,Navy blue,770,192,Able Sisters,Simple,BottomsTexPantsWideCargo2
cargo pants,Mustard,770,192,Able Sisters,Simple,BottomsTexPantsWideCargo3
cargo pants,Brown,770,192,Able Sisters,Simple,BottomsTexPantsWideCargo4
cargo shorts,Beige,1080,270,Able Sisters,Simple,BottomsTexPantsHalfCargo0
cargo shorts,Navy blue,1080,270,Able Sisters,Simple,BottomsTexPantsHalfCargo1
cargo shorts,Avocado,1080,270,Able Sisters,Simple,BottomsTexPantsHalfCargo2
cargo shorts,Camel,1080,270,Able Sisters,Simple,BottomsTexPantsHalfCargo3
cargo shorts,Brown,1080,270,Able Sisters,Simple,BottomsTexPantsHalfCargo4
casual pants,Navy blue,1100,275,Able Sisters,Simple,BottomsTexPantsWideEasy0
casual pants,Gray,1100,275,Able Sisters,Simple,BottomsTexPantsWideEasy1
casual pants,Green,1100,275,Able Sisters,Simple,BottomsTexPantsWideEasy2
casual pants,Beige,1100,275,Able Sisters,Simple,BottomsTexPantsWideEasy3
casual pants,Black,1100,275,Able Sisters,Simple,BottomsTexPantsWideEasy4
casual pants,Brown,1100,275,Able Sisters,Simple,BottomsTexPantsWideEasy5
chain pants,Red,1300,325,Able Sisters,Cool,BottomsTexPantsNormalChain0
