name,variation,buy_price,sell_price,source,style,filename
academy uniform,Gray,2080,520,Able Sisters,Elegant,TopsTexOnepieceBoxLYosoiki1
academy uniform,Red,2080,520,Able Sisters,Elegant,TopsTexOnepieceBoxLYosoiki2
academy uniform,Navy blue,2080,520,Able Sisters,Elegant,TopsTexOnepieceBoxLYosoiki0
adventure dress,Blue,2800,700,Able Sisters,Cute,TopsTexOnepieceBalloonHStrangeBlue
alpinist dress,Green,2520,630,Able Sisters,Cute,TopsTexOnepieceBalloonHTyrolean0
alpinist dress,Blue,2520,630,Able Sisters,Cute,TopsTexOnepieceBalloonHTyrolean1
alpinist dress,Red,2520,630,Able Sisters,Cute,TopsTexOnepieceBalloonHTyrolean2
alpinist overalls,Blue,2520,630,Able Sisters,Elegant,TopsTexOnepieceOverallHTyrolean1
alpinist overalls,Red,2520,630,Able Sisters,Elegant,TopsTexOnepieceOverallHTyrolean2
alpinist overalls,Green,2520,630,Able Sisters,Elegant,TopsTexOnepieceOverallHTyrolean0
ancient belted robe,Green,3640,910,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukumen1
ancient belted robe,Beige,3640,910,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukumen2
ancient belted robe,Blue,3640,910,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukumen0
ancient belted robe,White,3640,910,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukumen3
ancient belted robe,Purple,3640,910,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukumen4
ancient sashed robe,Pink,2520,630,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukuwomen1
ancient sashed robe,Red,2520,630,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukuwomen2
ancient sashed robe,Blue,2520,630,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukuwomen3
ancient sashed robe,Purple,2520,630,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukuwomen4
ancient sashed robe,Green,2520,630,Able Sisters,Elegant,TopsTexOnepieceKimonoLKanpukuwomen0
áo dài,White,2520,630,Able Sisters,Elegant,TopsTexOnepieceBlongLAodai0
áo dài,Navy blue,2520,630,Able Sisters,Elegant,TopsTexOnepieceBlongLAodai1
áo dài,Yellow,2520,630,Able Sisters,Elegant,TopsTexOnepieceBlongLAodai2
áo dài,Green,2520,630,Able Sisters,Elegant,TopsTexOnepieceBlongLAodai3
áo dài,Pink,2520,630,Able Sisters,Elegant,TopsTexOnepieceBlongLAodai4
apple dress,Red,NFS,1600,DIY,Cute,TopsTexOnepieceAlineNApple0
astro dress,Green,2500,625,Able Sisters,Cool,TopsTexOnepieceAlineNSpace1
astro dress,Pink,2500,625,Able Sisters,Cool,TopsTexOnepieceAlineNSpace2
astro dress,Blue,2500,625,Able Sisters,Cool,TopsTexOnepieceAlineNSpace0
attus robe,Blue,2520,630,Able Sisters,Cool,TopsTexOnepieceBlongLAttoushi0
attus robe,Brown,2520,630,Able Sisters,Cool,TopsTexOnepieceBlongLAttoushi1
attus robe,Red,2520,630,Able Sisters,Cool,TopsTexOnepieceBlongLAttoushi2
baby romper,Baby purple,1920,480,Able Sisters,Cute,TopsTexOnepieceOverallLRompers1
baby romper,Baby yellow,1920,480,Able Sisters,Cute,TopsTexOnepieceOverallLRompers2
baby romper,Baby mint,1920,480,Able Sisters,Cute,TopsTexOnepieceOverallLRompers0
baby romper,Baby green,1920,480,Able Sisters,Cute,TopsTexOnepieceOverallLRompers3
baby romper,Baby pink,1920,480,Able Sisters,Cute,TopsTexOnepieceOverallLRompers4
baby romper,Baby gray,1920,480,Able Sisters,Cute,TopsTexOnepieceOverallLRompers5
baby romper,Baby blue,1920,480,Able Sisters,Cute,TopsTexOnepieceOverallLRompers6
baby romper,Baby orange,1920,480,Able Sisters,Cute,TopsTexOnepieceOverallLRompers7
baby-chick costume,Beige,1700,425,Able Sisters,Cute,TopsTexOnepieceRibNChick2
baby-chick costume,Yellow,1700,425,Able Sisters,Cute,TopsTexOnepieceRibNChick0
baby-chick costume,Blue,1700,425,Able Sisters,Cute,TopsTexOnepieceRibNChick1
baji jeogori,Blue,2520,630,Able Sisters,Elegant,TopsTexOnepieceKimonoLKorea0
baji jeogori,Purple,2520,630,Able Sisters,Elegant,TopsTexOnepieceKimonoLKorea1
baji jeogori,Aqua,2520,630,Able Sisters,Elegant,TopsTexOnepieceKimonoLKorea2
baji jeogori,Black,2520,630,Able Sisters,Elegant,TopsTexOnepieceKimonoLKorea3
ballet outfit,Pink,2880,720,Able Sisters,Cute,TopsTexOnepieceBalloonNBallet0
ballet outfit,Mint,2880,720,Able Sisters,Cute,TopsTexOnepieceBalloonNBallet1
ballet outfit,Blue,2880,720,Able Sisters,Cute,TopsTexOnepieceBalloonNBallet2
ballet outfit,Purple,2880,720,Able Sisters,Cute,TopsTexOnepieceBalloonNBallet3
ballet outfit,Black,2880,720,Able Sisters,Cute,TopsTexOnepieceBalloonNBallet4
ballet outfit,White,2880,720,Able Sisters,Cute,TopsTexOnepieceBalloonNBallet5
ballet outfit,Yellow,2880,720,Able Sisters,Cute,TopsTexOnepieceBalloonNBallet6
ballet outfit,Red,2880,720,Able Sisters,Cute,TopsTexOnepieceBalloonNBallet7
balmacaan coat,Avocado,1540,385,Able Sisters,Simple,TopsTexOnepieceBlongLBalmakarn0
balmacaan coat,Beige,1540,385,Able Sisters,Simple,TopsTexOnepieceBlongLBalmakarn1
