name,variation,buy_price,sell_price,source,style,filename
acorn knit cap,Mustard,880,220,Able Sisters,Cute,CapHatAcorn1
acorn knit cap,Avocado,880,220,Able Sisters,Cute,CapHatAcorn2
acorn knit cap,Berry red,880,220,Able Sisters,Cute,CapHatAcorn3
acorn knit cap,Navy blue,880,220,Able Sisters,Cute,CapHatAcorn4
acorn knit cap,Cream,880,220,Able Sisters,Cute,CapHatAcorn5
acorn knit cap,Chestnut,880,220,Able Sisters,Cute,CapHatAcorn0
alpinist hat,Blue,NFS,500,Gulliver,Simple,CapHatTyrolean1
alpinist hat,Red,NFS,500,Gulliver,Simple,CapHatTyrolean2
alpinist hat,Green,NFS,500,Gulliver,Simple,CapHatTyrolean0
ancient administrator hat,Black,NFS,800,Gulliver,Elegant,CapHatKanboBlack
apple hat,Red,NFS,1000,Crafting,Cute,CapHatApple0
Aran-knit cap,Red,880,220,Able Sisters,Simple,CapHatAlan1
Aran-knit cap,Blue,880,220,Able Sisters,Simple,CapHatAlan2
Aran-knit cap,Green,880,220,Able Sisters,Simple,CapHatAlan3
Aran-knit cap,White,880,220,Able Sisters,Simple,CapHatAlan0
baby's hat,Baby purple,560,140,Able Sisters,Cute,CapBangsBonnet1
baby's hat,Baby yellow,560,140,Able Sisters,Cute,CapBangsBonnet2
baby's hat,Baby green,560,140,Able Sisters,Cute,CapBangsBonnet3
baby's hat,Baby pink,560,140,Able Sisters,Cute,CapBangsBonnet4
baby's hat,Baby gray,560,140,Able Sisters,Cute,CapBangsBonnet5
baby's hat,Baby blue,560,140,Able Sisters,Cute,CapBangsBonnet6
baby's hat,Baby orange,560,140,Able Sisters,Cute,CapBangsBonnet7
baby's hat,Baby mint,560,140,Able Sisters,Cute,CapBangsBonnet0
balloon hat,Green,1120,280,Able Sisters,Active,CapHatBalloon3
balloon hat,Rainbow,1120,280,Able Sisters,Active,CapHatBalloon0
balloon hat,Orange,1120,280,Able Sisters,Active,CapHatBalloon1
balloon hat,Blue,1120,280,Able Sisters,Active,CapHatBalloon2
bamboo hat,Beige,NFS,200,Crafting,Simple,CapHatAjiroBeige
barrette,Pink,490,122,Able Sisters,Elegant,CapOrnamentTBarrette0
baseball cap,Navy blue,840,210,Able Sisters,Active,CapHatBaseball1
baseball cap,Green,840,210,Able Sisters,Active,CapHatBaseball2
baseball cap,Orange,840,210,Able Sisters,Active,CapHatBaseball3
baseball cap,Red,840,210,Able Sisters,Active,CapHatBaseball0
baseball cap,Yellow,840,210,Able Sisters,Active,CapHatBaseball4
batter's helmet,Navy blue,1040,260,Able Sisters,Active,CapHelmetBaseball1
batter's helmet,Green,1040,260,Able Sisters,Active,CapHelmetBaseball2
batter's helmet,Orange,1040,260,Able Sisters,Active,CapHelmetBaseball3
batter's helmet,Yellow,1040,260,Able Sisters,Active,CapHelmetBaseball4
batter's helmet,Red,1040,260,Able Sisters,Active,CapHelmetBaseball0
bear cap,Brown,1120,280,Able Sisters,Cute,CapBangsBear0
bear cap,Black,1120,280,Able Sisters,Cute,CapBangsBear1
bear cap,Pink,1120,280,Able Sisters,Cute,CapBangsBear2
bear cap,Blue,1120,280,Able Sisters,Cute,CapBangsBear3
beret,Berry red,880,220,Able Sisters,Elegant,CapHatBeret0
beret,Blue,880,220,Able Sisters,Elegant,CapHatBeret1
beret,Green,880,220,Able Sisters,Elegant,CapHatBeret2
beret,Mustard,880,220,Able Sisters,Elegant,CapHatBeret3
beret,Gray,880,220,Able Sisters,Elegant,CapHatBeret4
beret,White,880,220,Able Sisters,Elegant,CapHatBeret5
bicycle helmet,Red,1100,275,Able Sisters,Active,CapHatCyclemet2
bicycle helmet,Lime,1100,275,Able Sisters,Active,CapHatCyclemet3
bicycle helmet,Green,1100,275,Able Sisters,Active,CapHatCyclemet4
bicycle helmet,Orange,1100,275,Able Sisters,Active,CapHatCyclemet5
bicycle helmet,Purple,1100,275,Able Sisters,Active,CapHatCyclemet6
bicycle helmet,Pink,1100,275,Able Sisters,Active,CapHatCyclemet7
bicycle helmet,Navy blue,1100,275,Able Sisters,Active,CapHatCyclemet1
bicycle helmet,Blue,1100,275,Able Sisters,Active,CapHatCyclemet0
birthday hat,Blue,NFS,600,Birthday,Gorgeous,CapHatBirthday0
birthday hat,Yellow,NFS,600,Birthday,Gorgeous,CapHatBirthday1
birthday hat,Pink,NFS,600,Birthday,Gorgeous,CapHatBirthday2
blue rose crown,Blue,NFS,12000,Crafting,Cute,CapOrnamentRose4
bowler hat with ribbon,Beige,1100,275,Able Sisters,Elegant,CapHatBowler1
bowler hat with ribbon,Green,1100,275,Able Sisters,Elegant,CapHatBowler2
bowler hat with ribbon,Red,1100,275,Able Sisters,Elegant,CapHatBowler3
bowler hat with ribbon,Pink,1100,275,Able Sisters,Elegant,CapHatBowler4
bowler hat with ribbon,Blue,1100,275,Able Sisters,Elegant,CapHatBowler0
bun wig,Pink,1440,360,Able Sisters,Cute,CapWigDoublebun0
bun wig,White,1440,360,Able Sisters,Cute,CapWigDoublebun3
bun wig,Purple,1440,360,Able Sisters,Cute,CapWigDoublebun4
bun wig,Green,1440,360,Able Sisters,Cute,CapWigDoublebun5
bun wig,Orange,1440,360,Able Sisters,Cute,CapWigDoublebun6
bun wig,Blue,1440,360,Able Sisters,Cute,CapWigDoublebun1
bun wig,Mustard,1440,360,Able Sisters,Cute,CapWigDoublebun2
Bunny Day crown,NA,NFS,2400,Crafting,Elegant,CapOrnamentCEgg0
bunny ears,Pink,1120,280,Able Sisters,Cute,CapOrnamentFBunny1
bunny ears,Red,1120,280,Able Sisters,Cute,CapOrnamentFBunny2
bunny ears,Light blue,1120,280,Able Sisters,Cute,CapOrnamentFBunny3
bunny ears,Black,1120,280,Able Sisters,Cute,CapOrnamentFBunny0
bunny hood,Yellow,1120,280,Able Sisters,Cute,CapBangsRabbit1
bunny hood,White,1120,280,Able Sisters,Cute,CapBangsRabbit2
bunny hood,Pink,1120,280,Able Sisters,Cute,CapBangsRabbit0
captain's hat,White,1680,420,Able Sisters,Cool,CapHatCaptainWhite
cat cap,Brown,980,245,Able Sisters,Cute,CapBangsCat1
cat cap,White,980,245,Able Sisters,Cute,CapBangsCat2
cat cap,Navy blue,980,245,Able Sisters,Cute,CapBangsCat0
catcher's mask,Navy blue,1560,390,Able Sisters,Active,CapFullfaceCatcher1
catcher's mask,Green,1560,390,Able Sisters,Active,CapFullfaceCatcher2
catcher's mask,Orange,1560,390,Able Sisters,Active,CapFullfaceCatcher3
catcher's mask,Yellow,1560,390,Able Sisters,Active,CapFullfaceCatcher4
catcher's mask,Red,1560,390,Able Sisters,Active,CapFullfaceCatcher0
cavalier hat,Red,1600,400,Able Sisters,Elegant,CapHatCavalier1
cavalier hat,Green,1600,400,Able Sisters,Elegant,CapHatCavalier2
cavalier hat,Blue,1600,400,Able Sisters,Elegant,CapHatCavalier0
chef's hat,White,840,210,Able Sisters,Simple,CapHatCockWhite
cherry hat,Red,NFS,1000,Crafting,Cute,CapHatCherry0
chic mum crown,Colorful,NFS,960,Crafting,Cute,CapOrnamentMum2
chic rose crown,Purple,NFS,2880,Crafting,Cute,CapOrnamentRose3
chic tulip crown,Colorful,NFS,1440,Crafting,Cute,CapOrnamentTulip2
coin headpiece,Gold,NFS,1350,Gulliver,Gorgeous,CapHelmetCoinGold
colorful striped knit cap,Blue,880,220,Able Sisters,Cute,CapHatColorful1
colorful striped knit cap,Green,880,220,Able Sisters,Cute,CapHatColorful2
colorful striped knit cap,Yellow,880,220,Able Sisters,Cute,CapHatColorful3
colorful striped knit cap,Red,880,220,Able Sisters,Cute,CapHatColorful0
colorful striped knit cap,Purple,880,220,Able Sisters,Cute,CapHatColorful4
colorful striped knit cap,Light blue,880,220,Able Sisters,Cute,CapHatColorful5
combat helmet,Avocado,1120,280,Able Sisters,Active,CapHatCombat0
combat helmet,Brown,1120,280,Able Sisters,Active,CapHatCombat1
composer's wig,Hair Color,1680,420,Able Sisters,Elegant,CapHelmetMusicBlack
cool hyacinth crown,Blue,NFS,1280,Crafting,Cute,CapOrnamentHyacinth2
cool pansy crown,Colorful,NFS,960,Crafting,Cute,CapOrnamentPansy2
cool windflower crown,Colorful,NFS,960,Crafting,Cute,CapOrnamentAnemone2
cosmos crown,Colorful,NFS,480,Crafting,Cute,CapOrnamentCosmos1
crown,Gold,1000000,250000,Able Sisters,Gorgeous,CapOrnamentAQueen0
cute lily crown,Colorful,NFS,800,Crafting,Cute,CapOrnamentYuri2
cute rose crown,Colorful,NFS,960,Crafting,Cute,CapOrnamentRose2
cycling cap,Blue,1100,275,Able Sisters,Active,CapHatCycle0
cycling cap,Yellow & avocado,1100,275,Able Sisters,Active,CapHatCycle3
cycling cap,Red & green,1100,275,Able Sisters,Active,CapHatCycle4
cycling cap,Red,1100,275,Able Sisters,Active,CapHatCycle5
cycling cap,Lime & purple,1100,275,Able Sisters,Active,CapHatCycle6
cycling cap,Blue & purple,1100,275,Able Sisters,Active,CapHatCycle7
cycling cap,Black & blue,1100,275,Able Sisters,Active,CapHatCycle1
cycling cap,Black & red,1100,275,Able Sisters,Active,CapHatCycle2
DAL cap,Blue,NFS,1010,Dodo Airlines,Simple,CapHatDal0
dandy hat,Blue,1100,275,Able Sisters,Elegant,CapHatCasquette1
dandy hat,Green,1100,275,Able Sisters,Elegant,CapHatCasquette2
dandy hat,Purple,1100,275,Able Sisters,Elegant,CapHatCasquette3
dandy hat,Gray,1100,275,Able Sisters,Elegant,CapHatCasquette4
dandy hat,White,1100,275,Able Sisters,Elegant,CapHatCasquette5
dandy hat,Camel,1100,275,Able Sisters,Elegant,CapHatCasquette0
dark cosmos crown,Dark red,NFS,3360,Crafting,Cute,CapOrnamentCosmos3
dark lily crown,Dark red,NFS,960,Crafting,Cute,CapOrnamentYuri3
dark tulip crown,Dark red,NFS,800,Crafting,Cute,CapOrnamentTulip3
denim cap,Blue,770,192,Able Sisters,Simple,CapHatDenim0
denim cap,Light blue,770,192,Able Sisters,Simple,CapHatDenim1
denim cap,Black,770,192,Able Sisters,Simple,CapHatDenim2
denim cap,White,770,192,Able Sisters,Simple,CapHatDenim3
detective hat,Brown,2100,525,Able Sisters,Elegant,CapHatDetective0
detective hat,Gray,2100,525,Able Sisters,Elegant,CapHatDetective1
detective hat,Beige,2100,525,Able Sisters,Elegant,CapHatDetective2
DJ cap,Blue,770,192,Able Sisters,Simple,CapBangsHeadphone0
DJ cap,Pink,770,192,Able Sisters,Simple,CapBangsHeadphone1
DJ cap,Orange,770,192,Able Sisters,Simple,CapBangsHeadphone2
DJ cap,Black,770,192,Able Sisters,Simple,CapBangsHeadphone3
do-rag,Blue,560,140,Able Sisters,Simple,CapHatTriangle1
do-rag,Red,560,140,Able Sisters,Simple,CapHatTriangle2
do-rag,Pink,560,140,Able Sisters,Simple,CapHatTriangle3
do-rag,Black,560,140,Able Sisters,Simple,CapHatTriangle4
do-rag,Purple,560,140,Able Sisters,Simple,CapHatTriangle5
do-rag,Green,560,140,Able Sisters,Simple,CapHatTriangle6
do-rag,Yellow,560,140,Able Sisters,Simple,CapHatTriangle0
do-rag,Beige,560,140,Able Sisters,Simple,CapHatTriangle7
dotted shower cap,Pink,560,140,Able Sisters,Simple,CapHatShowercap0
dotted shower cap,Blue,560,140,Able Sisters,Simple,CapHatShowercap1
earth-egg shell,None,NFS,800,Crafting,Active,CapHatEggground0
egg party hat,None,NFS,4800,Crafting,Gorgeous,CapHatEggparty0
eggshell,White,560,140,Able Sisters,Simple,CapHatEggWhite
elder mask,White,NFS,1500,Gulliver,Elegant,CapMaskOkinaWhite
elegant hat,Purple,2100,525,Able Sisters,Elegant,CapHatElegant0
elegant hat,White,2100,525,Able Sisters,Elegant,CapHatElegant3
elegant hat,Black,2100,525,Able Sisters,Elegant,CapHatElegant4
elegant hat,Green,2100,525,Able Sisters,Elegant,CapHatElegant1
elegant hat,Red,2100,525,Able Sisters,Elegant,CapHatElegant2
explorer's hat,Beige,1040,260,Able Sisters,Active,CapHatExpedition2
explorer's hat,Blue,1040,260,Able Sisters,Active,CapHatExpedition3
explorer's hat,Avocado,1040,260,Able Sisters,Active,CapHatExpedition1
explorer's hat,Camel,1040,260,Able Sisters,Active,CapHatExpedition0
fairy-tale hood,Pink,1560,390,Able Sisters,Cute,CapBangsCowl1
fairy-tale hood,Yellow,1560,390,Able Sisters,Cute,CapBangsCowl2
fairy-tale hood,Green,1560,390,Able Sisters,Cute,CapBangsCowl3
fairy-tale hood,Blue,1560,390,Able Sisters,Cute,CapBangsCowl4
fairy-tale hood,Red,1560,390,Able Sisters,Cute,CapBangsCowl0
fairy-tale hood,Light blue,1560,390,Able Sisters,Cute,CapBangsCowl5
fairy-tale hood,Light green,1560,390,Able Sisters,Cute,CapBangsCowl6
fairy-tale hood,Orange,1560,390,Able Sisters,Cute,CapBangsCowl7
faux-fur hat,Beige,1300,325,Able Sisters,Elegant,CapHatUshanka0
faux-fur hat,Brown,1300,325,Able Sisters,Elegant,CapHatUshanka1
faux-fur hat,Gray,1300,325,Able Sisters,Elegant,CapHatUshanka2
faux-fur hat,Black,1300,325,Able Sisters,Elegant,CapHatUshanka3
faux-fur hat,Pink,1300,325,Able Sisters,Elegant,CapHatUshanka4
faux-fur hat,White,1300,325,Able Sisters,Elegant,CapHatUshanka5
faux-fur hat,Red,1300,325,Able Sisters,Elegant,CapHatUshanka6
fedora,Beige,1100,275,Able Sisters,Cool,CapHatFelt0
fedora,Black,1100,275,Able Sisters,Cool,CapHatFelt1
fedora,Green,1100,275,Able Sisters,Cool,CapHatFelt2
fedora,Gray,1100,275,Able Sisters,Cool,CapHatFelt3
fedora,White,1100,275,Able Sisters,Cool,CapHatFelt4
fedora,Red,1100,275,Able Sisters,Cool,CapHatFelt5
firefighter's hat,Flame orange,1680,420,Able Sisters,Active,CapBangsFirefighter1
firefighter's hat,Brown,1680,420,Able Sisters,Active,CapBangsFirefighter2
firefighter's hat,Lime yellow,1680,420,Able Sisters,Active,CapBangsFirefighter3
firefighter's hat,Black,1680,420,Able Sisters,Active,CapBangsFirefighter0
firefighter's hat,Avocado,1680,420,Able Sisters,Active,CapBangsFirefighter4
flashy hairpin,Blue,2340,585,Able Sisters,Gorgeous,CapOrnamentLGaudy1
flashy hairpin,Black,2340,585,Able Sisters,Gorgeous,CapOrnamentLGaudy2
flashy hairpin,Purple,2340,585,Able Sisters,Gorgeous,CapOrnamentLGaudy3
flashy hairpin,Orange,2340,585,Able Sisters,Gorgeous,CapOrnamentLGaudy4
flashy hairpin,Green,2340,585,Able Sisters,Gorgeous,CapOrnamentLGaudy5
flashy hairpin,White,2340,585,Able Sisters,Gorgeous,CapOrnamentLGaudy6
flashy hairpin,Pink,2340,585,Able Sisters,Gorgeous,CapOrnamentLGaudy0
floral hairpin,Green,490,122,Able Sisters,Cute,CapOrnamentLFlowerhairpin2
floral hairpin,Yellow,490,122,Able Sisters,Cute,CapOrnamentLFlowerhairpin3
floral hairpin,Purple,490,122,Able Sisters,Cute,CapOrnamentLFlowerhairpin4
floral hairpin,Pink,490,122,Able Sisters,Cute,CapOrnamentLFlowerhairpin0
floral hairpin,Blue,490,122,Able Sisters,Cute,CapOrnamentLFlowerhairpin1
football helmet,White,1440,360,Able Sisters,Active,CapFullfaceFootball1
football helmet,Yellow,1440,360,Able Sisters,Active,CapFullfaceFootball2
football helmet,Berry red,1440,360,Able Sisters,Active,CapFullfaceFootball3
football helmet,Blue,1440,360,Able Sisters,Active,CapFullfaceFootball4
football helmet,Turquoise,1440,360,Able Sisters,Active,CapFullfaceFootball5
football helmet,Red,1440,360,Able Sisters,Active,CapFullfaceFootball6
football helmet,Green,1440,360,Able Sisters,Active,CapFullfaceFootball0
football helmet,Black,1440,360,Able Sisters,Active,CapFullfaceFootball7
fox mask,White,1400,350,Able Sisters,Cool,CapMaskFox0
fox mask,Black,1400,350,Able Sisters,Cool,CapMaskFox1
frog cap,Green,1120,280,Able Sisters,Cute,CapCostumeFrog0
frog cap,Blue,1120,280,Able Sisters,Cute,CapCostumeFrog1
frog cap,Red,1120,280,Able Sisters,Cute,CapCostumeFrog2
frog cap,Yellow,1120,280,Able Sisters,Cute,CapCostumeFrog3
frugal hat,Brown,350,87,Able Sisters,Simple,CapHatSimple0
frugal hat,Green,350,87,Able Sisters,Simple,CapHatSimple1
frugal hat,Blue-gray,350,87,Able Sisters,Simple,CapHatSimple2
geisha wig,Pink,NFS,1350,Gulliver,Cute,CapWigGeisya1
geisha wig,Golden yellow,NFS,1350,Gulliver,Cute,CapWigGeisya2
geisha wig,Green,NFS,1350,Gulliver,Cute,CapWigGeisya3
geisha wig,Blue,NFS,1350,Gulliver,Cute,CapWigGeisya4
geisha wig,Purple,NFS,1350,Gulliver,Cute,CapWigGeisya5
geisha wig,Black,NFS,1350,Gulliver,Cute,CapWigGeisya6
geisha wig,Red,NFS,1350,Gulliver,Cute,CapWigGeisya0
giant ribbon,Green,1470,367,Able Sisters,Cute,CapOrnamentTRibbon1
giant ribbon,Blue,1470,367,Able Sisters,Cute,CapOrnamentTRibbon2
giant ribbon,Yellow,1470,367,Able Sisters,Cute,CapOrnamentTRibbon3
giant ribbon,Orange,1470,367,Able Sisters,Cute,CapOrnamentTRibbon4
giant ribbon,Pink,1470,367,Able Sisters,Cute,CapOrnamentTRibbon5
giant ribbon,White,1470,367,Able Sisters,Cute,CapOrnamentTRibbon6
giant ribbon,Black,1470,367,Able Sisters,Cute,CapOrnamentTRibbon7
