name,variation,buy_price,sell_price,size,source,filename
acoustic guitar,Natural,,3210,1x1,Crafting,FtrAcorsticguitar_Remake_0_0
acoustic guitar,Cherry,,3210,1x1,Crafting,FtrAcorsticguitar_Remake_1_0
acoustic guitar,Brown,,3210,1x1,Crafting,FtrAcorsticguitar_Remake_2_0
acoustic guitar,Blue,,3210,1x1,Crafting,FtrAcorsticguitar_Remake_3_0
acoustic guitar,White,,3210,1x1,Crafting,FtrAcorsticguitar_Remake_4_0
acoustic guitar,Black,,3210,1x1,Crafting,FtrAcorsticguitar_Remake_5_0
acoustic guitar,Pink,,3210,1x1,Crafting,FtrAcorsticguitar_Remake_6_0
air circulator,White,1100,275,1x1,Nook's Cranny,FtrCirculator_Remake_0_0
air circulator,Black,1100,275,1x1,Nook's Cranny,FtrCirculator_Remake_1_0
air circulator,Pink,1100,275,1x1,Nook's Cranny,FtrCirculator_Remake_2_0
air circulator,Green,1100,275,1x1,Nook's Cranny,FtrCirculator_Remake_3_0
air circulator,Yellow,1100,275,1x1,Nook's Cranny,FtrCirculator_Remake_4_0
alto saxophone,NA,3400,850,1x1,Nook's Cranny,FtrAltosax
anatomical model,NA,3500,875,1x1,Nook's Cranny,FtrAnatomicalmodel
anchor statue,Black,,1400,1x1,Fishing Tourney,FtrShipanchor_Remake_0_0
anchor statue,Silver,,1400,1x1,Fishing Tourney,FtrShipanchor_Remake_1_0
anchor statue,Gold,,1400,1x1,Fishing Tourney,FtrShipanchor_Remake_2_0
anchor statue,White,,1400,1x1,Fishing Tourney,FtrShipanchor_Remake_3_0
anchor statue,Blue,,1400,1x1,Fishing Tourney,FtrShipanchor_Remake_4_0
anchor statue,Retro,,1400,1x1,Fishing Tourney,FtrShipanchor_Remake_5_0
angled signpost,Home,,600,1x1,Crafting,FtrSignpostTilt_Remake_0_0
angled signpost,Forest,,600,1x1,Crafting,FtrSignpostTilt_Remake_1_0
angled signpost,Fishing Spot,,600,1x1,Crafting,FtrSignpostTilt_Remake_2_0
angled signpost,Resident Services,,600,1x1,Crafting,FtrSignpostTilt_Remake_3_0
angled signpost,Airport,,600,1x1,Crafting,FtrSignpostTilt_Remake_4_0
angled signpost,Shop,,600,1x1,Crafting,FtrSignpostTilt_Remake_5_0
angled signpost,Tailors,,600,1x1,Crafting,FtrSignpostTilt_Remake_6_0
angled signpost,Museum,,600,1x1,Crafting,FtrSignpostTilt_Remake_7_0
antique bed,Brown,28000,7000,2x2,Nook's Cranny,FtrAntiqueBedW_Remake_0_0
antique bed,Natural,28000,7000,2x2,Nook's Cranny,FtrAntiqueBedW_Remake_1_0
antique bed,Black,28000,7000,2x2,Nook's Cranny,FtrAntiqueBedW_Remake_2_0
antique bureau,Brown,20000,5000,1x1,Nook's Cranny,FtrAntiqueBureau_Remake_0_0
antique bureau,Natural,20000,5000,1x1,Nook's Cranny,FtrAntiqueBureau_Remake_1_0
antique bureau,Black,20000,5000,1x1,Nook's Cranny,FtrAntiqueBureau_Remake_2_0
antique chair,Brown,10000,2500,1x1,Nook's Cranny,FtrAntiqueChairS_Remake_0_0
antique chair,Natural,10000,2500,1x1,Nook's Cranny,FtrAntiqueChairS_Remake_1_0
antique chair,Black,10000,2500,1x1,Nook's Cranny,FtrAntiqueChairS_Remake_2_0
antique clock,Brown,44000,11000,1x1,Nook's Cranny,FtrAntiqueClock_Remake_0_0
antique clock,Natural,44000,11000,1x1,Nook's Cranny,FtrAntiqueClock_Remake_1_0
antique clock,Black,44000,11000,1x1,Nook's Cranny,FtrAntiqueClock_Remake_2_0
antique console table,Brown,17000,4250,2x1,Nook's Cranny,FtrAntiqueConsole_Remake_0_0
antique console table,Natural,17000,4250,2x1,Nook's Cranny,FtrAntiqueConsole_Remake_1_0
antique console table,Black,17000,4250,2x1,Nook's Cranny,FtrAntiqueConsole_Remake_2_0
antique mini table,Brown,6700,1675,1x1,Nook's Cranny,FtrAntiqueTableS_Remake_0_0
antique mini table,Natural,6700,1675,1x1,Nook's Cranny,FtrAntiqueTableS_Remake_1_0
antique mini table,Black,6700,1675,1x1,Nook's Cranny,FtrAntiqueTableS_Remake_2_0
antique table,Brown,25000,6250,2x2,Nook's Cranny,FtrAntiqueTableL_Remake_0_0
antique table,Natural,25000,6250,2x2,Nook's Cranny,FtrAntiqueTableL_Remake_1_0
antique table,Black,25000,6250,2x2,Nook's Cranny,FtrAntiqueTableL_Remake_2_0
antique vanity,Brown,31000,7750,2x1,Nook's Cranny,FtrAntiqueDresser_Remake_0_0
antique vanity,Natural,31000,7750,2x1,Nook's Cranny,FtrAntiqueDresser_Remake_1_0
antique vanity,Black,31000,7750,2x1,Nook's Cranny,FtrAntiqueDresser_Remake_2_0
antique wardrobe,Brown,37000,9250,2x1,Nook's Cranny,FtrAntiqueChest_Remake_0_0
antique wardrobe,Natural,37000,9250,2x1,Nook's Cranny,FtrAntiqueChest_Remake_1_0
antique wardrobe,Black,37000,9250,2x1,Nook's Cranny,FtrAntiqueChest_Remake_2_0
