name,variation,buy_price,sell_price,source,style,filename
antique boots,Brown,2640,660,Able Sisters,Simple,ShoesKneeAntique0
antique boots,Black,2640,660,Able Sisters,Simple,ShoesKneeAntique1
antique boots,Greige,2640,660,Able Sisters,Simple,ShoesKneeAntique2
armor shoes,Gray,NFS,3000,Crafting,Cool,ShoesKneeKnightIron
babouches,Blue,560,140,Kicks,Cute,ShoesSandalBaboush0
babouches,Orange,560,140,Kicks,Cute,ShoesSandalBaboush1
babouches,Pink,560,140,Kicks,Cute,ShoesSandalBaboush2
babouches,Yellow,560,140,Kicks,Cute,ShoesSandalBaboush3
babouches,Gray,560,140,Kicks,Cute,ShoesSandalBaboush4
babouches,Purple,560,140,Kicks,Cute,ShoesSandalBaboush5
babouches,Mint,560,140,Kicks,Cute,ShoesSandalBaboush6
babouches,Red,560,140,Kicks,Cute,ShoesSandalBaboush7
ballet slippers,Pink,2200,550,Kicks,Elegant,ShoesLowcutBallet0
ballet slippers,Mint,2200,550,Kicks,Elegant,ShoesLowcutBallet1
ballet slippers,Blue,2200,550,Kicks,Elegant,ShoesLowcutBallet2
ballet slippers,Purple,2200,550,Kicks,Elegant,ShoesLowcutBallet3
ballet slippers,Black,2200,550,Kicks,Elegant,ShoesLowcutBallet4
ballet slippers,White,2200,550,Kicks,Elegant,ShoesLowcutBallet5
ballet slippers,Yellow,2200,550,Kicks,Elegant,ShoesLowcutBallet6
ballet slippers,Red,2200,550,Kicks,Elegant,ShoesLowcutBallet7
basketball shoes,Red,1500,375,Able Sisters,Active,ShoesHighcutBasket0
basketball shoes,Green,1500,375,Able Sisters,Active,ShoesHighcutBasket1
basketball shoes,Beige,1500,375,Able Sisters,Active,ShoesHighcutBasket2
basketball shoes,Orange,1500,375,Able Sisters,Active,ShoesHighcutBasket3
basketball shoes,Blue,1500,375,Able Sisters,Active,ShoesHighcutBasket4
basketball shoes,Purple,1500,375,Able Sisters,Active,ShoesHighcutBasket5
basketball shoes,Light blue,1500,375,Able Sisters,Active,ShoesHighcutBasket6
basketball shoes,Pink,1500,375,Able Sisters,Active,ShoesHighcutBasket7
beaded sandals,Orange,1800,450,Able Sisters,Gorgeous,ShoesSandalBeads0
beaded sandals,Purple,1800,450,Able Sisters,Gorgeous,ShoesSandalBeads1
beaded sandals,Yellow,1800,450,Able Sisters,Gorgeous,ShoesSandalBeads2
beaded sandals,Red,1800,450,Able Sisters,Gorgeous,ShoesSandalBeads3
beaded sandals,Green,1800,450,Able Sisters,Gorgeous,ShoesSandalBeads4
beaded sandals,Beige,1800,450,Able Sisters,Gorgeous,ShoesSandalBeads5
boots,Green,560,140,Able Sisters,Simple,ShoesKneeRubberboots0
boots,Black,560,140,Able Sisters,Simple,ShoesKneeRubberboots1
boots,Blue,560,140,Able Sisters,Simple,ShoesKneeRubberboots2
boots,Red,560,140,Able Sisters,Simple,ShoesKneeRubberboots3
boots,Olive,560,140,Able Sisters,Simple,ShoesKneeRubberboots4
business shoes,Black,1300,325,Able Sisters,Simple,ShoesLowcutBusiness0
business shoes,Brown,1300,325,Able Sisters,Simple,ShoesLowcutBusiness1
cleats,Blue,1200,300,Kicks,Active,ShoesLowcutSpike0
cleats,Light blue,1200,300,Kicks,Active,ShoesLowcutSpike1
cleats,Red,1200,300,Kicks,Active,ShoesLowcutSpike2
cleats,Yellow,1200,300,Kicks,Active,ShoesLowcutSpike3
cleats,Black,1200,300,Kicks,Active,ShoesLowcutSpike4
cleats,Orange,1200,300,Kicks,Active,ShoesLowcutSpike5
cleats,Green,1200,300,Kicks,Active,ShoesLowcutSpike6
