name,variation,buy_price,sell_price,source,style,filename
aerobics leggings,Emerald & lime,700,175,Kicks,Active,SocksTexAerobics1
aerobics leggings,Purple & orange,700,175,Kicks,Active,SocksTexAerobics2
aerobics leggings,Light blue & salmon pink,700,175,Kicks,Active,SocksTexAerobics3
aerobics leggings,Yellow & blue,700,175,Kicks,Active,SocksTexAerobics4
aerobics leggings,Red & pink,700,175,Kicks,Active,SocksTexAerobics0
Aran-knit socks,White,720,180,Able Sisters,Simple,SocksTexAlan1
Aran-knit socks,Red,720,180,Able Sisters,Simple,SocksTexAlan2
Aran-knit socks,Green,720,180,Able Sisters,Simple,SocksTexAlan3
Aran-knit socks,Blue,720,180,Able Sisters,Simple,SocksTexAlan4
Aran-knit socks,Black,720,180,Able Sisters,Simple,SocksTexAlan5
Aran-knit socks,Beige,720,180,Able Sisters,Simple,SocksTexAlan0
argyle crew socks,Red,720,180,Able Sisters,Elegant,SocksTexArgyle1
argyle crew socks,Green,720,180,Able Sisters,Elegant,SocksTexArgyle2
argyle crew socks,Beige,720,180,Able Sisters,Elegant,SocksTexArgyle3
argyle crew socks,Gray,720,180,Able Sisters,Elegant,SocksTexArgyle4
argyle crew socks,White,720,180,Able Sisters,Elegant,SocksTexArgyle5
argyle crew socks,Orange,720,180,Able Sisters,Elegant,SocksTexArgyle6
argyle crew socks,Pink,720,180,Able Sisters,Elegant,SocksTexArgyle7
argyle crew socks,Blue,720,180,Able Sisters,Elegant,SocksTexArgyle0
back-bow socks,Yellow,600,150,Kicks,Cute,SocksTexRibbon1
back-bow socks,Black,600,150,Kicks,Cute,SocksTexRibbon2
back-bow socks,White,600,150,Kicks,Cute,SocksTexRibbon3
back-bow socks,Blue,600,150,Kicks,Cute,SocksTexRibbon4
back-bow socks,Pink,600,150,Kicks,Cute,SocksTexRibbon0
back-bow socks,Peacock blue,600,150,Kicks,Cute,SocksTexRibbon5
bobby socks,White,480,120,Able Sisters,Elegant,SocksTexFolded0
bobby socks,Gray,480,120,Able Sisters,Elegant,SocksTexFolded1
bobby socks,Black,480,120,Able Sisters,Elegant,SocksTexFolded2
bobby socks,Brown,480,120,Able Sisters,Elegant,SocksTexFolded3
color-blocked socks,Purple,840,210,Kicks,Cute,SocksTexMultiblock0
color-blocked socks,Green,840,210,Kicks,Cute,SocksTexMultiblock1
color-blocked socks,Brown,840,210,Kicks,Cute,SocksTexMultiblock2
color-blocked socks,Blue,840,210,Kicks,Cute,SocksTexMultiblock3
color-blocked socks,Beige,840,210,Kicks,Cute,SocksTexMultiblock4
color-blocked socks,White,840,210,Kicks,Cute,SocksTexMultiblock5
color-blocked socks,Lime,840,210,Kicks,Cute,SocksTexMultiblock6
color-blocked socks,Pink,840,210,Kicks,Cute,SocksTexMultiblock7
compression tights,Yellow,600,150,Kicks,Active,SocksTexCompression1
compression tights,Pink,600,150,Kicks,Active,SocksTexCompression2
compression tights,Mint,600,150,Kicks,Active,SocksTexCompression3
compression tights,Red,600,150,Kicks,Active,SocksTexCompression4
compression tights,Blue,600,150,Kicks,Active,SocksTexCompression0
country socks,Red ribbons,720,180,Able Sisters,Elegant,SocksTexCountry0
country socks,Green ribbons,720,180,Able Sisters,Elegant,SocksTexCountry1
country socks,Blue ribbons,720,180,Able Sisters,Elegant,SocksTexCountry2
country socks,Black ribbons,720,180,Able Sisters,Elegant,SocksTexCountry3
crocheted socks,Beige,600,150,Able Sisters,Elegant,SocksTexCrocheting0
crocheted socks,Purple,600,150,Able Sisters,Elegant,SocksTexCrocheting2
crocheted socks,Blue,600,150,Able Sisters,Elegant,SocksTexCrocheting3
crocheted socks,Gray,600,150,Able Sisters,Elegant,SocksTexCrocheting1
denim leggings,Blue,540,135,Able Sisters,Simple,SocksTexDenimleggings0
denim leggings,Indigo blue,540,135,Able Sisters,Simple,SocksTexDenimleggings1
denim leggings,Saxon blue,540,135,Able Sisters,Simple,SocksTexDenimleggings2
denim leggings,Light blue,540,135,Able Sisters,Simple,SocksTexDenimleggings3
dotted knee-high socks,Black,720,180,Able Sisters,Cute,SocksTexDotknee0
dotted knee-high socks,Yellow,720,180,Able Sisters,Cute,SocksTexDotknee1
dotted knee-high socks,Cyan,720,180,Able Sisters,Cute,SocksTexDotknee2
dotted knee-high socks,Gray,720,180,Able Sisters,Cute,SocksTexDotknee3
embroidered-flower tights,Black,1000,250,Able Sisters,Cute,SocksTexEmbroidery1
embroidered-flower tights,Green,1000,250,Able Sisters,Cute,SocksTexEmbroidery2
embroidered-flower tights,Beige,1000,250,Able Sisters,Cute,SocksTexEmbroidery3
embroidered-flower tights,Brown,1000,250,Able Sisters,Cute,SocksTexEmbroidery0
embroidered-flower tights,Blue,1000,250,Able Sisters,Cute,SocksTexEmbroidery4
embroidered-flower tights,Purple,1000,250,Able Sisters,Cute,SocksTexEmbroidery5
everyday socks,Black,600,150,Able Sisters,Simple,SocksTexDailysocks1
everyday socks,Navy blue,600,150,Able Sisters,Simple,SocksTexDailysocks2
everyday socks,Gray,600,150,Able Sisters,Simple,SocksTexDailysocks3
everyday socks,Beige,600,150,Able Sisters,Simple,SocksTexDailysocks4
everyday socks,White,600,150,Able Sisters,Simple,SocksTexDailysocks5
everyday socks,Brown,600,150,Able Sisters,Simple,SocksTexDailysocks0
everyday tights,Light gray,720,180,Able Sisters,Simple,SocksTexDailytights1
everyday tights,Gray,720,180,Able Sisters,Simple,SocksTexDailytights2
everyday tights,White,720,180,Able Sisters,Simple,SocksTexDailytights3
everyday tights,Navy blue,720,180,Able Sisters,Simple,SocksTexDailytights4
everyday tights,Beige,720,180,Able Sisters,Simple,SocksTexDailytights5
everyday tights,Black,720,180,Able Sisters,Simple,SocksTexDailytights0
fishnet tights,White,480,120,Able Sisters,Elegant,SocksTexAmitights1
fishnet tights,Red,480,120,Able Sisters,Elegant,SocksTexAmitights2
fishnet tights,Black,480,120,Able Sisters,Elegant,SocksTexAmitights0
flowery-dot tights,White,720,180,Able Sisters,Elegant,SocksTexFlowerdot0
flowery-dot tights,Pink,720,180,Able Sisters,Elegant,SocksTexFlowerdot1
flowery-dot tights,Blue,720,180,Able Sisters,Elegant,SocksTexFlowerdot2
flowery-dot tights,Yellow,720,180,Able Sisters,Elegant,SocksTexFlowerdot3
flowery-dot tights,Black,720,180,Able Sisters,Elegant,SocksTexFlowerdot4
frilly knee-high socks,Black,840,210,Kicks,Cute,SocksTexFrilledknee0
frilly knee-high socks,Red,840,210,Kicks,Cute,SocksTexFrilledknee2
frilly knee-high socks,Brown,840,210,Kicks,Cute,SocksTexFrilledknee3
frilly knee-high socks,Mint,840,210,Kicks,Cute,SocksTexFrilledknee4
frilly knee-high socks,Pink,840,210,Kicks,Cute,SocksTexFrilledknee5
frilly knee-high socks,Purple,840,210,Kicks,Cute,SocksTexFrilledknee6
frilly knee-high socks,Yellow,840,210,Kicks,Cute,SocksTexFrilledknee7
frilly knee-high socks,Green,840,210,Kicks,Cute,SocksTexFrilledknee1
frilly socks,White,720,180,Able Sisters,Cute,SocksTexFrilled0
frilly socks,Yellow,720,180,Able Sisters,Cute,SocksTexFrilled1
frilly socks,Pink,720,180,Able Sisters,Cute,SocksTexFrilled2
frilly socks,Green,720,180,Able Sisters,Cute,SocksTexFrilled3
frilly socks,Purple,720,180,Able Sisters,Cute,SocksTexFrilled4
frilly socks,Blue,720,180,Able Sisters,Cute,SocksTexFrilled5
funny-face socks,Pink,600,150,Kicks,Active,SocksTexCharacter0
funny-face socks,Blue,600,150,Kicks,Active,SocksTexCharacter1
funny-face socks,Red,600,150,Kicks,Active,SocksTexCharacter2
funny-face socks,Green,600,150,Kicks,Active,SocksTexCharacter3
funny-face socks,Black,600,150,Kicks,Active,SocksTexCharacter4
garter socks,Black,980,245,Kicks,Cool,SocksTexGarter0
garter socks,White,980,245,Kicks,Cool,SocksTexGarter1
garter socks,Purple,980,245,Kicks,Cool,SocksTexGarter2
garter socks,Red,980,245,Kicks,Cool,SocksTexGarter3
geometric-print socks,Yellow,950,237,Able Sisters,Active,SocksTexChimayo0
geometric-print socks,Peacock blue,950,237,Able Sisters,Active,SocksTexChimayo1
geometric-print socks,Purple,950,237,Able Sisters,Active,SocksTexChimayo2
geometric-print socks,Beige,950,237,Able Sisters,Active,SocksTexChimayo3
geometric-print socks,Pink,950,237,Able Sisters,Active,SocksTexChimayo4
geometric-print socks,Green,950,237,Able Sisters,Active,SocksTexChimayo5
hand-knit socks,Green,700,175,Able Sisters,Simple,SocksTexHandknit0
hand-knit socks,Purple,700,175,Able Sisters,Simple,SocksTexHandknit1
hand-knit socks,Orange,700,175,Able Sisters,Simple,SocksTexHandknit2
holey socks,Navy blue,NFS,10,Recycle bin,Simple,SocksTexHole1
holey socks,White,NFS,10,Recycle bin,Simple,SocksTexHole2
holey socks,Blue,NFS,10,Recycle bin,Simple,SocksTexHole0
holey tights,Yellow,350,87,Able Sisters,Cool,SocksTexHoletights7
holey tights,Pink,350,87,Able Sisters,Cool,SocksTexHoletights1
holey tights,Light blue,350,87,Able Sisters,Cool,SocksTexHoletights2
holey tights,Red,350,87,Able Sisters,Cool,SocksTexHoletights3
holey tights,Purple,350,87,Able Sisters,Cool,SocksTexHoletights4
holey tights,Green,350,87,Able Sisters,Cool,SocksTexHoletights5
holey tights,Blue,350,87,Able Sisters,Cool,SocksTexHoletights6
holey tights,Black,350,87,Able Sisters,Cool,SocksTexHoletights0
kiddie socks,Red & light blue,600,150,Kicks,Cute,SocksTexKids0
kiddie socks,Blue & orange,600,150,Kicks,Cute,SocksTexKids1
kiddie socks,Lime & pink,600,150,Kicks,Cute,SocksTexKids2
kiddie socks,Yellow & purple,600,150,Kicks,Cute,SocksTexKids3
kiddie socks,Light blue & red,600,150,Kicks,Cute,SocksTexKids4
kiddie socks,Purple & green,600,150,Kicks,Cute,SocksTexKids5
kiddie socks,Pink & yellow,600,150,Kicks,Cute,SocksTexKids6
kiddie socks,Black & gray,600,150,Kicks,Cute,SocksTexKids7
Labelle socks,Midnight,940,235,Labelle,Cool,SocksTexKatesocks1
Labelle socks,Passion,940,235,Labelle,Cool,SocksTexKatesocks2
Labelle socks,Ocean,940,235,Labelle,Cool,SocksTexKatesocks3
Labelle socks,Sunset,940,235,Labelle,Cool,SocksTexKatesocks4
Labelle socks,Love,940,235,Labelle,Cool,SocksTexKatesocks5
Labelle socks,Twilight,940,235,Labelle,Cool,SocksTexKatesocks0
Labelle tights,Midnight,1240,310,Labelle,Elegant,SocksTexKatetights1
Labelle tights,Passion,1240,310,Labelle,Elegant,SocksTexKatetights2
Labelle tights,Ocean,1240,310,Labelle,Elegant,SocksTexKatetights3
Labelle tights,Sunset,1240,310,Labelle,Elegant,SocksTexKatetights4
Labelle tights,Twilight,1240,310,Labelle,Elegant,SocksTexKatetights0
Labelle tights,Love,1240,310,Labelle,Elegant,SocksTexKatetights5
lace socks,White,720,180,Able Sisters,Elegant,SocksTexLace0
lace socks,Pink,720,180,Able Sisters,Elegant,SocksTexLace1
lace socks,Green,720,180,Able Sisters,Elegant,SocksTexLace2
lace socks,Black,720,180,Able Sisters,Elegant,SocksTexLace3
lace socks,Beige,720,180,Able Sisters,Elegant,SocksTexLace4
layered socks,Blue,720,180,Able Sisters,Simple,SockstTexOverlapping1
layered socks,Yellow,720,180,Able Sisters,Simple,SockstTexOverlapping2
layered socks,Green,720,180,Able Sisters,Simple,SockstTexOverlapping3
layered socks,Red,720,180,Able Sisters,Simple,SockstTexOverlapping4
layered socks,Orange,720,180,Able Sisters,Simple,SockstTexOverlapping5
layered socks,Purple,720,180,Able Sisters,Simple,SockstTexOverlapping0
leg warmers,Purple,440,110,Able Sisters,Active,SocksTexLegwarmer0
leg warmers,Black,440,110,Able Sisters,Active,SocksTexLegwarmer1
leg warmers,Gray,440,110,Able Sisters,Active,SocksTexLegwarmer2
leg warmers,Pink,440,110,Able Sisters,Active,SocksTexLegwarmer3
leg warmers,Light purple,440,110,Able Sisters,Active,SocksTexLegwarmer4
leg warmers,Blue,440,110,Able Sisters,Active,SocksTexLegwarmer5
mixed-tweed socks,Avocado,800,200,Able Sisters,Simple,SocksTexMixtweed1
mixed-tweed socks,Light blue,800,200,Able Sisters,Simple,SocksTexMixtweed2
mixed-tweed socks,Purple,800,200,Able Sisters,Simple,SocksTexMixtweed3
mixed-tweed socks,Blue,800,200,Able Sisters,Simple,SocksTexMixtweed4
mixed-tweed socks,Red,800,200,Able Sisters,Simple,SocksTexMixtweed0
mixed-tweed socks,Orange,800,200,Able Sisters,Simple,SocksTexMixtweed5
mixed-tweed socks,Lime,800,200,Able Sisters,Simple,SocksTexMixtweed6
mixed-tweed socks,Pink,800,200,Able Sisters,Simple,SocksTexMixtweed7
neon leggings,Pink,540,135,Able Sisters,Active,SocksTexNeonleggings1
neon leggings,Orange,540,135,Able Sisters,Active,SocksTexNeonleggings2
neon leggings,Yellow,540,135,Able Sisters,Active,SocksTexNeonleggings0
neon leggings,Green,540,135,Able Sisters,Active,SocksTexNeonleggings3
neon leggings,Purple,540,135,Able Sisters,Active,SocksTexNeonleggings4
neon tights,Pink,720,180,Able Sisters,Active,SocksTexNeontights1
neon tights,Orange,720,180,Able Sisters,Active,SocksTexNeontights2
neon tights,Green,720,180,Able Sisters,Active,SocksTexNeontights3
neon tights,Purple,720,180,Able Sisters,Active,SocksTexNeontights4
neon tights,Yellow,720,180,Able Sisters,Active,SocksTexNeontights0
no-show socks,White,480,120,Able Sisters,Simple,SocksTexSneakerin1
no-show socks,Berry red,480,120,Able Sisters,Simple,SocksTexSneakerin2
no-show socks,Light blue,480,120,Able Sisters,Simple,SocksTexSneakerin3
no-show socks,Orange,480,120,Able Sisters,Simple,SocksTexSneakerin4
no-show socks,Green,480,120,Able Sisters,Simple,SocksTexSneakerin5
no-show socks,Navy blue,480,120,Able Sisters,Simple,SocksTexSneakerin6
no-show socks,Yellow,480,120,Able Sisters,Simple,SocksTexSneakerin7
no-show socks,Gray,480,120,Able Sisters,Simple,SocksTexSneakerin0
Nook Inc. socks,Yellow,NFS,2000,Nook Miles Shop,Active,SocksTexBorderRco
nordic socks,Ivory,840,210,Able Sisters,Elegant,SocksTexNordic1
nordic socks,Navy blue,840,210,Able Sisters,Elegant,SocksTexNordic0
nordic socks,Red,840,210,Able Sisters,Elegant,SocksTexNordic2
nordic socks,Blue,840,210,Able Sisters,Elegant,SocksTexNordic3
nordic socks,Gray,840,210,Able Sisters,Elegant,SocksTexNordic4
nordic socks,Green,840,210,Able Sisters,Elegant,SocksTexNordic5
nordic socks,Light blue,840,210,Able Sisters,Elegant,SocksTexNordic6
patterned stockings,Black,940,235,Able Sisters,Elegant,SocksTexStripedot0
patterned stockings,White,940,235,Able Sisters,Elegant,SocksTexStripedot1
pom-pom socks,Blue,720,180,Able Sisters,Cute,SocksTexBobble1
pom-pom socks,Green,720,180,Able Sisters,Cute,SocksTexBobble2
pom-pom socks,Orange,720,180,Able Sisters,Cute,SocksTexBobble3
pom-pom socks,Purple,720,180,Able Sisters,Cute,SocksTexBobble4
pom-pom socks,Pink,720,180,Able Sisters,Cute,SocksTexBobble0
puckered socks,Red,600,150,Able Sisters,Elegant,SocksTexPucker1
puckered socks,Blue,600,150,Able Sisters,Elegant,SocksTexPucker2
puckered socks,Mustard,600,150,Able Sisters,Elegant,SocksTexPucker0
puckered socks,Green,600,150,Able Sisters,Elegant,SocksTexPucker3
puckered socks,Purple,600,150,Able Sisters,Elegant,SocksTexPucker4
running tights,Pink,550,137,Able Sisters,Active,SocksTexRun0
running tights,Yellow,550,137,Able Sisters,Active,SocksTexRun1
running tights,Blue,550,137,Able Sisters,Active,SocksTexRun2
running tights,Green,550,137,Able Sisters,Active,SocksTexRun3
semi-opaque socks,Purple,480,120,Able Sisters,Elegant,SocksTexNuancesocks4
semi-opaque socks,Camel,480,120,Able Sisters,Elegant,SocksTexNuancesocks5
semi-opaque socks,Avocado,480,120,Able Sisters,Elegant,SocksTexNuancesocks6
semi-opaque socks,Brown,480,120,Able Sisters,Elegant,SocksTexNuancesocks7
semi-opaque socks,Green,480,120,Able Sisters,Elegant,SocksTexNuancesocks0
semi-opaque socks,Red,480,120,Able Sisters,Elegant,SocksTexNuancesocks1
semi-opaque socks,Blue,480,120,Able Sisters,Elegant,SocksTexNuancesocks2
semi-opaque socks,Navy blue,480,120,Able Sisters,Elegant,SocksTexNuancesocks3
semi-opaque tights,Red,720,180,Able Sisters,Elegant,SocksTexNuancetights6
semi-opaque tights,Yellow-green,720,180,Able Sisters,Elegant,SocksTexNuancetights7
semi-opaque tights,Yellow,720,180,Able Sisters,Elegant,SocksTexNuancetights1
semi-opaque tights,Green,720,180,Able Sisters,Elegant,SocksTexNuancetights2
semi-opaque tights,Purple,720,180,Able Sisters,Elegant,SocksTexNuancetights3
semi-opaque tights,Blue,720,180,Able Sisters,Elegant,SocksTexNuancetights4
semi-opaque tights,Pink,720,180,Able Sisters,Elegant,SocksTexNuancetights5
semi-opaque tights,Brown,720,180,Able Sisters,Elegant,SocksTexNuancetights0
sequin leggings,Pink,940,235,Kicks,Gorgeous,SocksTexSequins0
sequin leggings,Red,940,235,Kicks,Gorgeous,SocksTexSequins1
sequin leggings,Black,940,235,Kicks,Gorgeous,SocksTexSequins2
sequin leggings,Yellow,940,235,Kicks,Gorgeous,SocksTexSequins3
sequin leggings,White,940,235,Kicks,Gorgeous,SocksTexSequins4
sequin leggings,Blue,940,235,Kicks,Gorgeous,SocksTexSequins5
sequin leggings,Purple,940,235,Kicks,Gorgeous,SocksTexSequins6
sequin leggings,Green,940,235,Kicks,Gorgeous,SocksTexSequins7
sheer socks,Green,600,150,Kicks,Elegant,SocksTexSeethrough3
sheer socks,Olive,600,150,Kicks,Elegant,SocksTexSeethrough4
sheer socks,Gray,600,150,Kicks,Elegant,SocksTexSeethrough5
sheer socks,Blue,600,150,Kicks,Elegant,SocksTexSeethrough0
sheer socks,Berry red,600,150,Kicks,Elegant,SocksTexSeethrough1
sheer socks,Brown,600,150,Kicks,Elegant,SocksTexSeethrough2
simple knee-high socks,White,600,150,Kicks,Cute,SocksTexSimpleknee1
simple knee-high socks,Red,600,150,Kicks,Cute,SocksTexSimpleknee2
simple knee-high socks,Blue,600,150,Kicks,Cute,SocksTexSimpleknee3
simple knee-high socks,Pink,600,150,Kicks,Cute,SocksTexSimpleknee0
simple-accent socks,Black,720,180,Able Sisters,Simple,SocksTexOnepoint1
simple-accent socks,White,720,180,Able Sisters,Simple,SocksTexOnepoint2
simple-accent socks,Gray,720,180,Able Sisters,Simple,SocksTexOnepoint3
simple-accent socks,Blue,720,180,Able Sisters,Simple,SocksTexOnepoint4
simple-accent socks,Orange,720,180,Able Sisters,Simple,SocksTexOnepoint5
simple-accent socks,Red,720,180,Able Sisters,Simple,SocksTexOnepoint6
simple-accent socks,Pink,720,180,Able Sisters,Simple,SocksTexOnepoint7
simple-accent socks,Navy blue,720,180,Able Sisters,Simple,SocksTexOnepoint0
soccer socks,Red,800,200,Kicks,Active,SocksTexFootball1
soccer socks,Green,800,200,Kicks,Active,SocksTexFootball2
soccer socks,Light blue,800,200,Kicks,Active,SocksTexFootball3
soccer socks,Black,800,200,Kicks,Active,SocksTexFootball4
soccer socks,Orange,800,200,Kicks,Active,SocksTexFootball5
soccer socks,White,800,200,Kicks,Active,SocksTexFootball6
soccer socks,Blue,800,200,Kicks,Active,SocksTexFootball0
spider-web tights,Black,720,180,Kicks,Cool,SocksTexSpider0
spider-web tights,White,720,180,Kicks,Cool,SocksTexSpider1
spider-web tights,Orange,720,180,Kicks,Cool,SocksTexSpider2
spider-web tights,Purple,720,180,Kicks,Cool,SocksTexSpider3
stockings,Gray,480,120,Able Sisters,Simple,SocksTexTights1
stockings,White,480,120,Able Sisters,Simple,SocksTexTights2
stockings,Brown,480,120,Able Sisters,Simple,SocksTexTights3
stockings,Beige,480,120,Able Sisters,Simple,SocksTexTights4
stockings,Black,480,120,Able Sisters,Simple,SocksTexTights0
stretch leggings,Navy blue,450,112,Able Sisters,Simple,SocksTexLeggings0
stretch leggings,Brown,450,112,Able Sisters,Simple,SocksTexLeggings5
stretch leggings,Green,450,112,Able Sisters,Simple,SocksTexLeggings6
stretch leggings,Gray,450,112,Able Sisters,Simple,SocksTexLeggings1
stretch leggings,Dark gray,450,112,Able Sisters,Simple,SocksTexLeggings2
stretch leggings,White,450,112,Able Sisters,Simple,SocksTexLeggings3
stretch leggings,Black,450,112,Able Sisters,Simple,SocksTexLeggings4
striped socks,Purple,600,150,Able Sisters,Simple,SocksTexBorder6
striped socks,Blue,600,150,Able Sisters,Simple,SocksTexBorder7
striped socks,Green,600,150,Able Sisters,Simple,SocksTexBorder2
striped socks,Light blue,600,150,Able Sisters,Simple,SocksTexBorder1
striped socks,Yellow,600,150,Able Sisters,Simple,SocksTexBorder3
striped socks,Orange,600,150,Able Sisters,Simple,SocksTexBorder4
striped socks,Red,600,150,Able Sisters,Simple,SocksTexBorder5
striped socks,Monotone,600,150,Able Sisters,Simple,SocksTexBorder0
striped tights,Yellow,720,180,Able Sisters,Gorgeous,SocksTexStripe4
striped tights,Purple,720,180,Able Sisters,Gorgeous,SocksTexStripe5
striped tights,Green,720,180,Able Sisters,Gorgeous,SocksTexStripe6
striped tights,Orange,720,180,Able Sisters,Gorgeous,SocksTexStripe7
striped tights,Red,720,180,Able Sisters,Gorgeous,SocksTexStripe0
striped tights,Gray,720,180,Able Sisters,Gorgeous,SocksTexStripe1
striped tights,Pink,720,180,Able Sisters,Gorgeous,SocksTexStripe2
striped tights,Light blue,720,180,Able Sisters,Gorgeous,SocksTexStripe3
tabi,Navy blue,1200,300,Able Sisters,Simple,SocksTexTabi2
tabi,White,1200,300,Able Sisters,Simple,SocksTexTabi0
tabi,Black,1200,300,Able Sisters,Simple,SocksTexTabi1
terry-cloth socks,Purple,600,150,Able Sisters,Cute,SocksTexFluffy1
terry-cloth socks,Pink,600,150,Able Sisters,Cute,SocksTexFluffy0
terry-cloth socks,Blue,600,150,Able Sisters,Cute,SocksTexFluffy2
terry-cloth socks,Green,600,150,Able Sisters,Cute,SocksTexFluffy3
