name,variation,buy_price,sell_price,source,style,filename
A tee,NA,560,140,Nook Shopping Catalog,Simple,TopsTexTopTshirtsHAce0
acid-washed jacket,Black,1680,420,Able Sisters,Simple,TopsTexTopOuterLChemical1
acid-washed jacket,Blue,1680,420,Able Sisters,Simple,TopsTexTopOuterLChemical0
after-school jacket,Black,1050,262,Able Sisters,Cool,TopsTexTopYshirtsLGakuranopen0
after-school jacket,Berry red,1050,262,Able Sisters,Cool,TopsTexTopYshirtsLGakuranopen1
after-school jacket,Green,1050,262,Able Sisters,Cool,TopsTexTopYshirtsLGakuranopen2
after-school jacket,White,1050,262,Able Sisters,Cool,TopsTexTopYshirtsLGakuranopen3
after-school jacket,Purple,1050,262,Able Sisters,Cool,TopsTexTopYshirtsLGakuranopen4
after-school jacket,Gray,1050,262,Able Sisters,Cool,TopsTexTopYshirtsLGakuranopen5
after-school jacket,Blue,1050,262,Able Sisters,Cool,TopsTexTopYshirtsLGakuranopen6
animal-print coat,Blue,2320,580,Able Sisters,Cute,TopsTexTopCoatLAnimal0
animal-print coat,Green,2320,580,Able Sisters,Cute,TopsTexTopCoatLAnimal1
animal-print coat,Purple,2320,580,Able Sisters,Cute,TopsTexTopCoatLAnimal2
animal-print coat,Pink,2320,580,Able Sisters,Cute,TopsTexTopCoatLAnimal3
animal-stripes tee,Tiger,960,240,Able Sisters,Cool,TopsTexTopTshirtsHStripe0
animal-stripes tee,Zebra,960,240,Able Sisters,Cool,TopsTexTopTshirtsHStripe1
annyeong tee,NA,640,160,Nook Shopping Catalog,Simple,TopsTexTopTshirtsHHellokr0
anorak jacket,Red,1400,350,Able Sisters,Simple,TopsTexTopCoatLAnorak1
anorak jacket,Blue,1400,350,Able Sisters,Simple,TopsTexTopCoatLAnorak2
anorak jacket,Camel,1400,350,Able Sisters,Simple,TopsTexTopCoatLAnorak0
apron,Green,840,210,Able Sisters,Simple,TopsTexTopCoatHApron1
apron,Blue,840,210,Able Sisters,Simple,TopsTexTopCoatHApron2
apron,Pink,840,210,Able Sisters,Simple,TopsTexTopCoatHApron3
apron,Light blue,840,210,Able Sisters,Simple,TopsTexTopCoatHApron4
apron,Purple,840,210,Able Sisters,Simple,TopsTexTopCoatHApron5
