name,buy_price,sell_price,source,filename
apple umbrella,5600,1400,Crafting,UmbrellaApple0
bat umbrella,840,210,Nook's Cranny,UmbrellaBat0
beach umbrella,770,192,Nook's Cranny,UmbrellaBeach0
bear umbrella,1570,392,Nook's Cranny,UmbrellaBear0
black chic umbrella,1620,405,Nook's Cranny,UmbrellaPacodarace5
black lace umbrella,750,187,Nook's Cranny,UmbrellaRace0
blue dot parasol,750,187,Nook's Cranny,UmbrellaPolkadot2
blue shiny-bows parasol,1620,405,Nook's Cranny,UmbrellaPacodarace2
blue umbrella,770,192,Nook's Cranny,UmbrellaStandard2
busted umbrella,1570,392,Nook's Cranny,UmbrellaBroken0
camo umbrella,650,162,Nook's Cranny,UmbrellaOutdoor0
candy umbrella,770,192,Nook's Cranny,UmbrellaGingham0
cherry umbrella,5600,1400,Crafting,UmbrellaCherry0
cherry-blossom umbrella,11200,2800,Crafting,UmbrellaCherryblossom0
DAL umbrella,4040,1010,Dodo Airlines,UmbrellaDoc0
eggy parasol,750,187,Nook's Cranny,UmbrellaPolkadot1
exquisite parasol,1670,417,Nook's Cranny,UmbrellaChina0
fairy-tale umbrella,820,205,Nook's Cranny,UmbrellaFairytale0
fish umbrella,320,80,Fishing Tourney,UmbrellaFish0
frog umbrella,1570,392,Nook's Cranny,UmbrellaFrog0
gelato umbrella,750,187,Nook's Cranny,UmbrellaTricolor0
ghost umbrella,1670,417,Nook's Cranny,UmbrellaTeruteru0
grape umbrella,1550,387,Nook's Cranny,UmbrellaGrape0
green chic umbrella,1620,405,Nook's Cranny,UmbrellaPacodarace4
green umbrella,770,192,Nook's Cranny,UmbrellaStandard3
hydrangea umbrella,750,187,Nook's Cranny,UmbrellaHydrangea0
kabuki umbrella,1670,417,Nook's Cranny,UmbrellaKabuki0
kiwi umbrella,1550,387,Nook's Cranny,UmbrellaKiwi0
lacy parasol,1550,387,Nook's Cranny,UmbrellaLace0
ladybug umbrella,320,80,Bug-Off,UmbrellaLadybug0
leaf umbrella,1200,300,Crafting,UmbrellaLeaf0
lemon umbrella,770,192,Nook's Cranny,UmbrellaGingham4
logo umbrella,650,162,Nook's Cranny,UmbrellaLogo0
maple-leaf umbrella,11200,2800,Crafting,UmbrellaAutumn0
melon umbrella,770,192,Nook's Cranny,UmbrellaGingham1
mini-flower-print umbrella,750,187,Nook's Cranny,UmbrellaFlorets0
mint umbrella,770,192,Nook's Cranny,UmbrellaGingham2
mush umbrella,4800,1200,Crafting,UmbrellaMushroom0
Nook Inc. umbrella,14000,3500,Nook Miles Shop,UmbrellaRco0
orange umbrella,5600,1400,Crafting,UmbrellaOrange0
panda umbrella,1570,392,Nook's Cranny,UmbrellaPanda0
paper parasol,870,217,Nook's Cranny,UmbrellaBangasa0
patterned vinyl umbrella,750,187,Nook's Cranny,UmbrellaBoundary0
peach umbrella,5600,1400,Crafting,UmbrellaPeach0
pear umbrella,5600,1400,Crafting,UmbrellaPear0
petal parasol,1590,397,Nook's Cranny,UmbrellaMargaret0
picnic umbrella,770,192,Nook's Cranny,UmbrellaGingham3
pineapple umbrella,1550,387,Nook's Cranny,UmbrellaPineapple0
pink shiny-bows parasol,1620,405,Nook's Cranny,UmbrellaPacodarace0
pink umbrella,770,192,Nook's Cranny,UmbrellaSchool0
purple chic umbrella,1620,405,Nook's Cranny,UmbrellaPacoda0
purple shiny-bows parasol,1620,405,Nook's Cranny,UmbrellaPacodarace1
rainbow umbrella,840,210,Nook's Cranny,UmbrellaRainbow0
raindrop umbrella,750,187,Nook's Cranny,UmbrellaRain0
red chic umbrella,1620,405,Nook's Cranny,UmbrellaPacodarace6
red umbrella,770,192,Nook's Cranny,UmbrellaStandard1
snowflake umbrella,1550,387,Nook's Cranny,UmbrellaCrystal0
spider umbrella,840,210,Nook's Cranny,UmbrellaSpider0
strawberry umbrella,1550,387,Nook's Cranny,UmbrellaStrawberry0
striped umbrella,750,187,Nook's Cranny,UmbrellaStripe0
sunny parasol,750,187,Nook's Cranny,UmbrellaSunflower0
tartan-check umbrella,750,187,Nook's Cranny,UmbrellaPlaid0
Toad parasol,750,187,Nook's Cranny,UmbrellaPolkadotRed
two-tone umbrella,770,192,Nook's Cranny,UmbrellaTwocolor0
vinyl umbrella,770,192,Nook's Cranny,UmbrellaVinyl0
watermelon umbrella,1550,387,Nook's Cranny,UmbrellaWater0
white shiny-bows parasol,1620,405,Nook's Cranny,UmbrellaPacodarace3
