name,variation,buy_price,sell_price,size,source,filename
air conditioner,White,63000,15750,2x1 ,Nook's Cranny,FtrAirconditioner_Remake_0_0
air conditioner,Gray,63000,15750,2x1 ,Nook's Cranny,FtrAirconditioner_Remake_1_0
air conditioner,Black,63000,15750,2x1 ,Nook's Cranny,FtrAirconditioner_Remake_2_0
air conditioner,Pink,63000,15750,2x1 ,Nook's Cranny,FtrAirconditioner_Remake_3_0
air conditioner,Blue,63000,15750,2x1 ,Nook's Cranny,FtrAirconditioner_Remake_4_0
air conditioner,Brown,63000,15750,2x1 ,Nook's Cranny,FtrAirconditioner_Remake_5_0
antique phone,Brown,16000,4000,1x1 ,Nook's Cranny,FtrAntiquePhoneW_Remake_0_0
antique phone,Natural,16000,4000,1x1 ,Nook's Cranny,FtrAntiquePhoneW_Remake_1_0
antique phone,Black,16000,4000,1x1 ,Nook's Cranny,FtrAntiquePhoneW_Remake_2_0
autograph cards,Signature,1400,350,2x1 ,Nook's Cranny,FtrAutograph_Remake_0_0
autograph cards,Signature,1400,350,2x1 ,Nook's Cranny,FtrAutograph_Remake_0_1
autograph cards,Handprints,1400,350,2x1 ,Nook's Cranny,FtrAutograph_Remake_1_0
autograph cards,Handprints,1400,350,2x1 ,Nook's Cranny,FtrAutograph_Remake_1_1
autograph cards,Illustration,1400,350,2x1 ,Nook's Cranny,FtrAutograph_Remake_2_0
autograph cards,Illustration,1400,350,2x1 ,Nook's Cranny,FtrAutograph_Remake_2_1
autograph cards,Words of wisdom,1400,350,2x1 ,Nook's Cranny,FtrAutograph_Remake_3_0
autograph cards,Words of wisdom,1400,350,2x1 ,Nook's Cranny,FtrAutograph_Remake_3_1
bamboo wall decoration,Green bamboo,,160,0.5x1 ,Crafting,FtrBambooFlowerwall_Remake_0_0
bamboo wall decoration,Dried bamboo,,160,0.5x1 ,Crafting,FtrBambooFlowerwall_Remake_1_0
bamboo wall decoration,Smoke-cured bamboo,,160,0.5x1 ,Crafting,FtrBambooFlowerwall_Remake_2_0
bathroom towel rack,Silver,1400,350,1x1 ,Nook's Cranny,FtrTowelrackWall_Remake_0_0
bathroom towel rack,Gold,1400,350,1x1 ,Nook's Cranny,FtrTowelrackWall_Remake_1_0
bathroom towel rack,Copper,1400,350,1x1 ,Nook's Cranny,FtrTowelrackWall_Remake_2_0
bathroom towel rack,Black,1400,350,1x1 ,Nook's Cranny,FtrTowelrackWall_Remake_3_0
blue rose wreath,NA,,20000,1x1 ,Crafting,FtrDoorOrnamentWreathRoseUrtraRare
bone doorplate,Brown,,360,1x1 ,Crafting,FtrDoorPlateBone_Remake_0_0
bone doorplate,White,,360,1x1 ,Crafting,FtrDoorPlateBone_Remake_1_0
bone doorplate,Black,,360,1x1 ,Crafting,FtrDoorPlateBone_Remake_2_0
bone doorplate,Pink,,360,1x1 ,Crafting,FtrDoorPlateBone_Remake_3_0
bone doorplate,Red,,360,1x1 ,Crafting,FtrDoorPlateBone_Remake_4_0
bone doorplate,Yellow,,360,1x1 ,Crafting,FtrDoorPlateBone_Remake_5_0
bone doorplate,Blue,,360,1x1 ,Crafting,FtrDoorPlateBone_Remake_6_0
bone doorplate,Natural wood,,360,1x1 ,Crafting,FtrDoorPlateBone_Remake_7_0
boomerang,Natural,,360,1x0.5 ,Crafting,FtrBoomerang_Remake_0_0
boomerang,Green & orange,,360,1x0.5 ,Crafting,FtrBoomerang_Remake_1_0
boomerang,Dark brown,,360,1x0.5 ,Crafting,FtrBoomerang_Remake_2_0
boomerang,Red & black,,360,1x0.5 ,Crafting,FtrBoomerang_Remake_3_0
boomerang,White & blue,,360,1x0.5 ,Crafting,FtrBoomerang_Remake_4_0
breaker,NA,820,205,1x1 ,Nook's Cranny,FtrBreaker
bronze HHA plaque,NA,,400,1x1 ,HHA,FtrShieldHhaBronze
broom and dustpan,Natural,910,227,1x1.5 ,Nook's Cranny,FtrCleaningset_Remake_0_0
broom and dustpan,White,910,227,1x1.5 ,Nook's Cranny,FtrCleaningset_Remake_1_0
broom and dustpan,Dark brown,910,227,1x1.5 ,Nook's Cranny,FtrCleaningset_Remake_2_0
broom and dustpan,Colorful,910,227,1x1.5 ,Nook's Cranny,FtrCleaningset_Remake_3_0
Bunny Day glowy garland,NA,,2400,2x1,Crafting,FtrEggLampWall
Bunny Day wall clock,NA,,1200,1x1.5,Crafting,FtrEggClock
Bunny Day wreath,NA,,2400,1x1,Crafting,FtrDoorOrnamentWreathEaster
butterfly-fish model,NA,1300,325,1x1 ,Nook's Cranny,FtrFishChouchouuoWall
cherry lamp,Cherry,,2400,1x1 ,Crafting,FtrFruitsLampW_Remake_0_0
cherry lamp,Black cherry,,2400,1x1 ,Crafting,FtrFruitsLampW_Remake_1_0
cherry-blossom clock,Pink,,2750,1x1 ,Crafting,FtrSakuraClockW_Remake_0_0
cherry-blossom clock,Pink-white,,2750,1x1 ,Crafting,FtrSakuraClockW_Remake_1_0
chic cosmos wreath,NA,,4800,1x1 ,Crafting,FtrDoorOrnamentWreathCosmosRare
chic windflower wreath,NA,,4800,1x1 ,Crafting,FtrDoorOrnamentWreathAnemoneRare
coconut wall planter,NA,,600,1x1.5 ,Crafting,FtrPlanterPalm
cool hyacinth wreath,NA,,1440,1x1 ,Crafting,FtrDoorOrnamentWreathHyacinthMix
cool pansy wreath,NA,,4800,1x1 ,Crafting,FtrDoorOrnamentWreathPansyRare
cool windflower wreath,NA,,1200,1x1 ,Crafting,FtrDoorOrnamentWreathAnemoneMix
corkboard,Natural,1400,350,2x1 ,Nook's Cranny,FtrCorkboard_Remake_0_0
corkboard,Natural,1400,350,2x1 ,Nook's Cranny,FtrCorkboard_Remake_0_1
corkboard,Natural,1400,350,2x1 ,Nook's Cranny,FtrCorkboard_Remake_0_2
corkboard,White,1400,350,2x1 ,Nook's Cranny,FtrCorkboard_Remake_1_0
corkboard,White,1400,350,2x1 ,Nook's Cranny,FtrCorkboard_Remake_1_1
corkboard,White,1400,350,2x1 ,Nook's Cranny,FtrCorkboard_Remake_1_2
corkboard,Blue,1400,350,2x1 ,Nook's Cranny,FtrCorkboard_Remake_2_0
corkboard,Blue,1400,350,2x1 ,Nook's Cranny,FtrCorkboard_Remake_2_1
corkboard,Blue,1400,350,2x1 ,Nook's Cranny,FtrCorkboard_Remake_2_2
cosmos wreath,NA,,720,1x1 ,Crafting,FtrDoorOrnamentWreathCosmos
crest doorplate,Silver,,3000,1x1 ,Crafting,FtrDoorOrnamentCrest_Remake_0_0
crest doorplate,Gold & silver,,3000,1x1 ,Crafting,FtrDoorOrnamentCrest_Remake_1_0
crest doorplate,Silver & blue,,3000,1x1 ,Crafting,FtrDoorOrnamentCrest_Remake_2_0
crest doorplate,Red & white,,3000,1x1 ,Crafting,FtrDoorOrnamentCrest_Remake_3_0
crest doorplate,Silver & green,,3000,1x1 ,Crafting,FtrDoorOrnamentCrest_Remake_4_0
crest doorplate,Colorful,,3000,1x1 ,Crafting,FtrDoorOrnamentCrest_Remake_5_0
cuckoo clock,Natural,3200,800,1x1.5 ,Nook's Cranny,FtrCuckooclock_Remake_0_0
cuckoo clock,Green,3200,800,1x1.5 ,Nook's Cranny,FtrCuckooclock_Remake_1_0
cuckoo clock,Blue,3200,800,1x1.5 ,Nook's Cranny,FtrCuckooclock_Remake_2_0
cuckoo clock,Yellow,3200,800,1x1.5 ,Nook's Cranny,FtrCuckooclock_Remake_3_0
