name,buy_price,sell_price,source,filename
abstract wall,3000,390,Nook's Cranny,RoomTexWallAbstract00
ancient wall,3000,750,Saharah,RoomTexWallEgypt00
apple wall,,4000,Crafting,RoomTexWallApple00
aqua tile wall,1420,355,Nook's Cranny,RoomTexWallTile01
arched-window wall,2150,537,Nook's Cranny,RoomSpWallGlass00
autumn wall,,4700,Crafting,RoomSpWallAutumun00
backyard-fence wall,3000,750,Saharah,RoomSpWallBackyard00
bamboo wall,,2400,Crafting,RoomTexWallBamboo00
bamboo-grove wall,,4300,Crafting,RoomTexWallChikurin00
bamboo-screen wall,1770,442,Nook's Cranny,RoomTexWallRattan00
bank-vault wall,3000,750,Saharah,RoomTexWallSafeBox00
basic wall,600,150,Nook's Cranny,RoomSpWallSimplePanel00
beaded-curtain wall,1720,430,Nook's Cranny,RoomTexWallBeadsCurtain00
beige art-deco wall,2780,695,Nook's Cranny,RoomTexWallArtDeco00
beige blossoming wall,1760,440,Nook's Cranny,RoomTexWallCountry00
beige desert-tile wall,2440,610,Nook's Cranny,RoomTexWallMorocco00
black botanical-tile wall,1240,310,Nook's Cranny,RoomTexWallWoodTile03
black hallway wall,2000,500,Nook's Cranny,RoomTexWallHall03
black perforated-board wall,1180,295,Nook's Cranny,RoomTexWallPegboard02
black two-toned tile wall,1850,462,Nook's Cranny,RoomTexWallTwoToneTile06
black-brick wall,1000,250,Nook's Cranny,RoomTexWallBrick02
black-crown wall,2350,587,Nook's Cranny,RoomTexWallCrown01
blackboard wall,3000,750,Saharah,RoomTexWallBlackBoard00
blue blossoming wall,1760,440,Nook's Cranny,RoomTexWallCountry02
blue camo wall,1150,287,Nook's Cranny,RoomTexWallCamouflage01
blue delicate-blooms wall,1900,475,Nook's Cranny,RoomTexWallManor03
blue desert-tile wall,2440,610,Nook's Cranny,RoomTexWallMorocco01
blue diner wall,2420,605,Nook's Cranny,RoomTexWallDiner00
blue flower-print wall,1780,445,Nook's Cranny,RoomTexWallFlower03
blue heart-pattern wall,1280,320,Nook's Cranny,RoomTexWallHeart00
blue honeycomb-tile wall,1680,420,Nook's Cranny,RoomTexWallHoneycomb01
blue intricate wall,1570,392,Nook's Cranny,RoomTexWallFlowerPop00
blue molded-panel wall,1980,495,Nook's Cranny,RoomTexWallPanelMold01
blue painted-wood wall,1650,412,Nook's Cranny,RoomTexWallPaintWood00
blue playroom wall,2540,635,Nook's Cranny,RoomTexWallToy00
blue quilt wall,2150,537,Nook's Cranny,RoomTexWallDollhouse01
blue shanty wall,620,155,Nook's Cranny,RoomTexWallTin02
blue simple-cloth wall,750,187,Nook's Cranny,RoomTexWallSimple03
blue subway-tile wall,1340,335,Nook's Cranny,RoomTexWallMetro00
blue tile wall,1420,355,Nook's Cranny,RoomTexWallTile03
blue two-toned tile wall,1850,462,Nook's Cranny,RoomTexWallTwoToneTile05
blue-crown wall,2350,587,Nook's Cranny,RoomTexWallCrown00
blue-paint wall,1600,400,Nook's Cranny,RoomTexWallStucco03
blue-rose wall,1720,430,Nook's Cranny,RoomTexWallRose03
blue-striped wall,1520,380,Nook's Cranny,RoomTexWallStripe03
botanical-tile wall,1240,310,Nook's Cranny,RoomTexWallWoodTile02
brown botanical-tile wall,1240,310,Nook's Cranny,RoomTexWallWoodTile01
brown diner wall,2420,605,Nook's Cranny,RoomTexWallDiner03
brown hallway wall,2000,500,Nook's Cranny,RoomTexWallHall00
brown herringbone wall,,1800,Crafting,RoomTexWallHerringbone00
brown shanty wall,620,155,Nook's Cranny,RoomTexWallTin03
brown-brick wall,1000,250,Nook's Cranny,RoomTexWallBrick03
brown-crown wall,2350,587,Nook's Cranny,RoomTexWallCrown03
Bunny Day wall,,4800,Crafting,RoomTexWallEaster00
butterflies wall,,840,Bug-Off,RoomTexWallInsect00
cabin wall,,1800,Crafting,RoomTexWallLog00
café-curtain wall,3000,750,Saharah,RoomSpWallCafe00
camo wall,1150,287,Nook's Cranny,RoomTexWallCamouflage00
chain-link fence,3000,750,Saharah,RoomSpWallEmptyLot00
cherry wall,,4000,Crafting,RoomTexWallCherry00
cherry-blossom-trees wall,,4600,Crafting,RoomSpWallSakura00
chic tearoom wall,1750,437,Nook's Cranny,RoomTexWallMud03
chic wall,1960,490,Nook's Cranny,RoomTexWallClassic00
chocolate hallway wall,2000,500,Nook's Cranny,RoomTexWallHall01
